"","iSensor","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","celltype"
"41","AT-aux-cistrans-IR8-ARF5-2-up",0.00282455201340359,0.437628505019869,1,1,0.189244984898041,"Daughters_CEI"
"42","AT-aux-cistrans-IR8-TGTCNN-up",0.00406297597441738,0.430131923394152,0.975,0.987,0.272219390285964,"Daughters_CEI"
"43","AT-aux-cis-DR5-ARF5syn",0.00415042905737394,-0.0790751632365766,1,1,0.278078746844054,"Daughters_CEI"
"44","AT-aux-cistrans-DR5-ARF1-down",0.00957683522775605,-0.400824355399039,0.923,0.987,0.641647960259656,"Daughters_CEI"
"45","AT-aux-cistrans-IR8-ARF3-up",0.0103599803161472,0.516164460944127,0.901,0.897,0.694118681181861,"Daughters_CEI"
"46","AT-aux-cis-IR8-ARF5-2",0.0114677839002349,-0.100436827229479,1,1,0.768341521315741,"Daughters_CEI"
"47","majortrend",0.0159159303201097,-0.0549830075342572,1,1,1,"Daughters_CEI"
"48","AT-aux-cistrans-IR8-ARF3-down",0.0223884021755497,-0.608065010112109,0.722,0.808,1,"Daughters_CEI"
"49","AT-aux-cistrans-IR8-ARF1-down",0.0338874408639409,-0.380617429964074,0.951,0.974,1,"Daughters_CEI"
"50","AT-aux-cis-IR8-ARF5syn",0.0430124724723332,-0.0475686154223713,1,1,1,"Daughters_CEI"
"51","AT-aux-cistrans-IR8-ARF5-2-down",0.0459609362183089,-0.304693385502571,0.827,0.936,1,"Daughters_CEI"
"52","AT-aux-trans-ARF",0.0691861962342057,0.206575678207298,0.954,0.974,1,"Daughters_CEI"
"53","AT-aux-cistrans-IR8-ARF6-down",0.134367789714659,-0.101557658475541,0.961,1,1,"Daughters_CEI"
"54","AT-aux-cistrans-IR8-ARF8-down",0.134367789714659,-0.101557658475541,0.961,1,1,"Daughters_CEI"
"55","AT-aux-cistrans-IR8-TGTCNN-down",0.210864517439362,-0.249058046293645,0.718,0.833,1,"Daughters_CEI"
"56","AT-aux-trans-Receptors",0.226158228768259,0.291668395453417,0.831,0.846,1,"Daughters_CEI"
"57","AT-aux-trans-A-ARF",0.381719790677992,0.129398985208911,0.831,0.859,1,"Daughters_CEI"
"58","AT-aux-trans-ConjugationDeconjugation",0.415530468903835,-0.0201728265939642,0.993,1,1,"Daughters_CEI"
"59","AT-aux-cistrans-IR8-ARF2-down",0.451996291965369,0.171803667734507,0.905,0.974,1,"Daughters_CEI"
"60","AT-aux-cis-IR8-TGTCNN",0.471441134997991,-0.0380847375514328,1,1,1,"Daughters_CEI"
"61","AT-aux-trans-Transport",0.520109968276906,-0.201712955692441,0.986,0.987,1,"Daughters_CEI"
"62","AT-aux-cis-IR8-ARF2",0.5409259632838,0.0205076641704773,1,1,1,"Daughters_CEI"
"63","AT-aux-cis-IR8-ARF3",0.669415029217008,-0.0345187891835026,1,1,1,"Daughters_CEI"
"64","random3",0.735533646429467,-0.0106035920289304,1,1,1,"Daughters_CEI"
"65","AT-aux-cis-DR5-TGTCGG",0.767968778886665,-0.113763243005508,0.951,0.962,1,"Daughters_CEI"
"66","AT-aux-cis-IR8-ARF6",0.846469984073662,-0.0189218933711216,1,1,1,"Daughters_CEI"
"67","AT-aux-cis-IR8-ARF8",0.846469984073662,-0.0189218933711216,1,1,1,"Daughters_CEI"
"68","AT-aux-cistrans-DR5-ARF2-down",3.05839902122397e-28,-1.12217170503634,1,1,2.04912734422006e-26,"Daughters_LRCEI"
"69","AT-aux-cistrans-DR5-ARF5syn-down",9.95561478145862e-26,-0.636484916468714,1,1,6.67026190357728e-24,"Daughters_LRCEI"
"70","AT-aux-cistrans-DR5-ARF5-1-down",1.46882445303574e-24,-0.805017869461613,1,1,9.84112383533943e-23,"Daughters_LRCEI"
"71","AT-aux-cistrans-DR5-ARF6-down",3.97469934067031e-19,-0.655558878378377,1,1,2.66304855824911e-17,"Daughters_LRCEI"
"72","AT-aux-cistrans-DR5-ARF8-down",3.97469934067031e-19,-0.655558878378377,1,1,2.66304855824911e-17,"Daughters_LRCEI"
"73","AT-aux-cis-DR5-TGTCNN",4.98279235124199e-18,-0.309361051897146,1,1,3.33847087533213e-16,"Daughters_LRCEI"
"74","AT-aux-cis-DR5-ARF5-1",4.45255087338473e-16,-0.243027985581461,1,1,2.98320908516777e-14,"Daughters_LRCEI"
"75","AT-aux-cis-DR5-ARF2",1.75023641199788e-15,-0.247444649579442,1,1,1.17265839603858e-13,"Daughters_LRCEI"
"76","AT-aux-cistrans-DR5-TGTCNN-down",3.6780779108198e-15,-0.576454154185129,1,1,2.46431220024927e-13,"Daughters_LRCEI"
"77","AT-aux-cistrans-DR5-ARF3-down",1.12605001691345e-14,-0.786987421956142,1,0.991,7.54453511332009e-13,"Daughters_LRCEI"
"78","random2",7.00478221637875e-14,-0.317190412600232,1,1,4.69320408497376e-12,"Daughters_LRCEI"
"79","AT-aux-cis-IR8-ARF1",5.10913147420737e-13,-0.347130336086102,1,1,3.42311808771894e-11,"Daughters_LRCEI"
"80","AT-aux-cis-DR5-ARF1",7.5976475592295e-13,-0.227296168738696,1,1,5.09042386468376e-11,"Daughters_LRCEI"
"81","AT-aux-cis-DR5-ARF6",1.25789378844306e-11,-0.200222562622519,1,1,8.42788838256851e-10,"Daughters_LRCEI"
"82","AT-aux-cis-DR5-ARF8",1.25789378844306e-11,-0.200222562622519,1,1,8.42788838256851e-10,"Daughters_LRCEI"
"83","AT-aux-cis-DR5-ARF3",1.3166285259311e-11,-0.233666880753576,1,1,8.82141112373834e-10,"Daughters_LRCEI"
"84","AT-aux-cis-IR8-TGTCNN",3.30921844834948e-11,-0.273809530268275,1,1,2.21717636039415e-09,"Daughters_LRCEI"
"85","AT-aux-cis-IR8-ARF5-1",3.78387038017364e-11,-0.202961641743065,1,1,2.53519315471634e-09,"Daughters_LRCEI"
"86","AT-aux-cis-DR5-ARF5syn",1.99907927153423e-10,-0.171271264457264,1,1,1.33938311192793e-08,"Daughters_LRCEI"
"87","AT-aux-cis-DR5-ARF5-2",4.68333603002246e-10,-0.221504260771686,1,1,3.13783514011505e-08,"Daughters_LRCEI"
"88","AT-aux-cistrans-IR8-ARF5-1-up",5.61164973502107e-09,0.367452930504426,1,1,3.75980532246412e-07,"Daughters_LRCEI"
"89","majortrend",5.74637205361127e-09,-0.147186530642116,1,1,3.85006927591955e-07,"Daughters_LRCEI"
"90","AT-aux-cistrans-IR8-ARF5syn-down",3.30938613965861e-08,-0.319696135913531,1,1,2.21728871357127e-06,"Daughters_LRCEI"
"91","AT-aux-cis-IR8-ARF5-2",4.4315832204015e-08,-0.197988913270985,1,1,2.96916075766901e-06,"Daughters_LRCEI"
"92","AT-aux-cistrans-DR5-ARF5-2-up",8.23929163129143e-08,0.537941121209675,1,1,5.52032539296526e-06,"Daughters_LRCEI"
"93","AT-aux-cis-IR8-ARF3",2.92706700191691e-07,-0.224816730642632,1,1,1.96113489128433e-05,"Daughters_LRCEI"
"94","AT-aux-trans-IAA",8.00303608939787e-07,-0.615289222197716,1,1,5.36203417989657e-05,"Daughters_LRCEI"
"95","AT-aux-cistrans-DR5-ARF1-down",3.42436175916459e-06,-0.341659461218223,0.948,0.991,0.000229432237864028,"Daughters_LRCEI"
"96","AT-aux-cistrans-IR8-ARF3-down",7.76842183407331e-06,-0.761724672750206,0.76,0.905,0.000520484262882911,"Daughters_LRCEI"
"97","AT-aux-cis-IR8-ARF5syn",1.48761938942452e-05,-0.113267038550756,1,1,0.000996704990914431,"Daughters_LRCEI"
"98","AT-aux-trans-ConjugationDeconjugation",3.31129395241922e-05,-0.405355819384984,1,1,0.00221856694812087,"Daughters_LRCEI"
"99","AT-aux-cistrans-IR8-ARF1-down",0.000110387828518753,-0.455308874334838,0.943,0.974,0.00739598451075644,"Daughters_LRCEI"
"100","AT-aux-cistrans-IR8-ARF5syn-up",0.000114420702481762,0.159668701052723,1,1,0.00766618706627805,"Daughters_LRCEI"
"101","AT-aux-cistrans-IR8-ARF5-2-up",0.000206272043154104,0.405819249136198,1,1,0.0138202268913249,"Daughters_LRCEI"
"102","AT-aux-trans-PolarAuxinTransport",0.000513430113463757,0.578481882870971,0.87,0.966,0.0343998176020717,"Daughters_LRCEI"
"103","AT-aux-cis-IR8-ARF6",0.00061257434910156,-0.0983495272822519,1,1,0.0410424813898045,"Daughters_LRCEI"
"104","AT-aux-cis-IR8-ARF8",0.00061257434910156,-0.0983495272822519,1,1,0.0410424813898045,"Daughters_LRCEI"
"105","AT-aux-cistrans-IR8-ARF5-1-down",0.00117417961247076,-0.231298874067797,1,1,0.0786700340355411,"Daughters_LRCEI"
"106","AT-aux-cistrans-DR5-ARF5-2-down",0.00145039063054471,-0.202155100303155,0.938,1,0.0971761722464957,"Daughters_LRCEI"
"107","AT-aux-cistrans-DR5-ARF5syn-up",0.00252276363886689,0.134064934026414,1,1,0.169025163804081,"Daughters_LRCEI"
"108","AT-aux-trans-Transport",0.00388649579266983,-0.0921184101942498,0.984,1,0.260395218108879,"Daughters_LRCEI"
"109","AT-aux-cistrans-IR8-TGTCNN-up",0.00442304848874496,-0.27132073747103,0.979,0.991,0.296344248745912,"Daughters_LRCEI"
"110","AT-aux-cistrans-IR8-TGTCNN-down",0.00505613146207599,-0.445007591519124,0.76,0.845,0.338760807959091,"Daughters_LRCEI"
"111","AT-aux-cistrans-IR8-ARF6-down",0.0178709651025497,-0.219655705568853,0.99,1,1,"Daughters_LRCEI"
"112","AT-aux-cistrans-IR8-ARF8-down",0.0178709651025497,-0.219655705568853,0.99,1,1,"Daughters_LRCEI"
"113","AT-aux-trans-Synthesis",0.059383821887317,-1.10375799957029,0.531,0.595,1,"Daughters_LRCEI"
"114","AT-aux-cistrans-IR8-ARF5-2-down",0.0722608099391967,-0.214441876524064,0.844,0.897,1,"Daughters_LRCEI"
"115","AT-aux-cistrans-DR5-ARF3-up",0.0819060549477981,0.15036344226046,1,1,1,"Daughters_LRCEI"
"116","AT-aux-cistrans-IR8-ARF1-up",0.102783965232607,-0.255189792928306,0.479,0.578,1,"Daughters_LRCEI"
"117","AT-aux-cistrans-IR8-ARF2-up",0.130378840513811,0.156162687417575,1,1,1,"Daughters_LRCEI"
"118","AT-aux-cis-IR8-ARF2",0.138628389095801,-0.0364571670241323,1,1,1,"Daughters_LRCEI"
"119","AT-aux-cistrans-DR5-ARF1-up",0.158654214776823,0.152288069084059,1,1,1,"Daughters_LRCEI"
"120","AT-aux-trans-ARF",0.194717466960478,-0.176886747054872,0.953,0.974,1,"Daughters_LRCEI"
"121","random1",0.21281112424358,-0.0509849582178956,1,1,1,"Daughters_LRCEI"
"122","AT-aux-cistrans-IR8-ARF6-up",0.215245403529638,0.0910624191333924,1,1,1,"Daughters_LRCEI"
"123","AT-aux-cistrans-IR8-ARF8-up",0.215245403529638,0.0910624191333924,1,1,1,"Daughters_LRCEI"
"124","random3",0.279780417060388,-0.0323902047575965,1,1,1,"Daughters_LRCEI"
"125","AT-aux-cis-DR5-TGTCGG",0.289883313624939,-0.0980784023867385,0.969,0.974,1,"Daughters_LRCEI"
"126","AT-aux-cistrans-IR8-ARF3-up",0.325718562396569,-0.0510419028614787,0.849,0.914,1,"Daughters_LRCEI"
"127","AT-aux-trans-A-ARF",0.399380135892032,-0.970513855305068,0.854,0.897,1,"Daughters_LRCEI"
"128","AT-aux-trans-Receptors",0.444673062784286,-0.259205517625466,0.875,0.931,1,"Daughters_LRCEI"
"129","AT-aux-cistrans-DR5-ARF5-1-up",0.565244653321293,0.0270510506776884,1,1,1,"Daughters_LRCEI"
"130","AT-aux-cistrans-DR5-ARF6-up",0.579619024765011,0.042799350416987,1,1,1,"Daughters_LRCEI"
"131","AT-aux-cistrans-DR5-ARF8-up",0.579619024765011,0.042799350416987,1,1,1,"Daughters_LRCEI"
"132","AT-aux-cistrans-IR8-ARF2-down",0.648175744592947,0.0684759252416086,0.943,0.914,1,"Daughters_LRCEI"
"133","AT-aux-cistrans-DR5-TGTCNN-up",0.943679760742614,-0.0241926536514419,1,1,1,"Daughters_LRCEI"
"134","AT-aux-cistrans-DR5-ARF2-up",0.989991152994379,0.0207685229945453,1,1,1,"Daughters_LRCEI"
"135","AT-aux-trans-IAA",2.46547811961445e-12,-2.02890932626751,1,1,1.65187034014168e-10,"Initials"
"136","AT-aux-cis-DR5-TGTCNN",4.71185921958873e-11,-0.463153022210654,1,1,3.15694567712445e-09,"Initials"
"137","AT-aux-cis-IR8-ARF1",3.47725485709797e-10,-0.578596217997478,1,1,2.32976075425564e-08,"Initials"
"138","AT-aux-cis-DR5-ARF6",6.22297128407278e-10,-0.362692886875379,1,1,4.16939076032876e-08,"Initials"
"139","AT-aux-cis-DR5-ARF8",6.22297128407278e-10,-0.362692886875379,1,1,4.16939076032876e-08,"Initials"
"140","AT-aux-cis-DR5-ARF5syn",6.72098133154832e-10,-0.33720231354085,1,1,4.50305749213737e-08,"Initials"
"141","AT-aux-cis-DR5-ARF2",3.65718573262772e-09,-0.354725853559245,1,1,2.45031444086057e-07,"Initials"
"142","AT-aux-cis-DR5-ARF5-1",6.32907167269593e-09,-0.344125651922211,1,1,4.24047802070627e-07,"Initials"
"143","AT-aux-cistrans-DR5-ARF6-down",1.16691345423002e-08,-0.714474288934802,1,1,7.81832014334115e-07,"Initials"
"144","AT-aux-cistrans-DR5-ARF8-down",1.16691345423002e-08,-0.714474288934802,1,1,7.81832014334115e-07,"Initials"
"145","AT-aux-cis-DR5-ARF5-2",1.39420213128731e-08,-0.353797764016433,1,1,9.34115427962495e-07,"Initials"
"146","majortrend",1.39420213128731e-08,-0.280484863516512,1,1,9.34115427962495e-07,"Initials"
"147","AT-aux-cistrans-DR5-TGTCNN-down",1.78595945381722e-08,-0.840890069612455,0.988,1,1.19659283405754e-06,"Initials"
"148","AT-aux-cistrans-DR5-ARF2-down",7.60479773597741e-08,-0.753134646225992,1,1,5.09521448310486e-06,"Initials"
"149","AT-aux-cistrans-DR5-ARF5syn-down",7.60479773597741e-08,-0.448417177489781,1,1,5.09521448310486e-06,"Initials"
"150","AT-aux-cis-IR8-ARF5-1",1.06376976332783e-07,-0.284756123690432,1,1,7.12725741429643e-06,"Initials"
"151","random3",1.29884140940173e-07,-0.306833107977488,1,1,8.70223744299158e-06,"Initials"
"152","AT-aux-cistrans-DR5-ARF5-1-down",1.38782406862124e-07,-0.586884278177633,1,1,9.29842125976228e-06,"Initials"
"153","AT-aux-cis-IR8-ARF5syn",3.4569802973549e-07,-0.270735284638272,1,1,2.31617679922778e-05,"Initials"
"154","AT-aux-trans-Synthesis",7.16418750292986e-07,-1.21090731645679,0.988,1,4.80000562696301e-05,"Initials"
"155","AT-aux-cis-DR5-ARF3",1.21284250736243e-06,-0.367452742286758,1,1,8.12604479932825e-05,"Initials"
"156","AT-aux-cis-IR8-TGTCNN",1.64514789125511e-06,-0.358083967174506,1,1,0.000110224908714092,"Initials"
"157","AT-aux-cis-IR8-ARF2",4.92758286985166e-06,-0.270586286074547,1,1,0.000330148052280061,"Initials"
"158","AT-aux-cis-DR5-ARF1",8.25590719599523e-06,-0.26563696962537,1,1,0.00055314578213168,"Initials"
"159","AT-aux-trans-PolarAuxinTransport",3.1741125723727e-05,-1.42254861466284,0.988,1,0.00212665542348971,"Initials"
"160","AT-aux-cis-IR8-ARF5-2",4.96497258249303e-05,-0.273151780521009,1,1,0.00332653163027033,"Initials"
"161","AT-aux-cistrans-IR8-ARF5syn-down",5.09574926813269e-05,-0.386214395151015,1,1,0.0034141520096489,"Initials"
"162","AT-aux-cistrans-IR8-ARF3-down",7.253155686817e-05,-0.999710748538415,0.725,1,0.00485961431016739,"Initials"
"163","AT-aux-cistrans-DR5-ARF6-up",8.29532985962456e-05,-0.365649468432926,1,1,0.00555787100594845,"Initials"
"164","AT-aux-cistrans-DR5-ARF8-up",8.29532985962456e-05,-0.365649468432926,1,1,0.00555787100594845,"Initials"
"165","AT-aux-cistrans-IR8-ARF5-2-up",0.000158303945809143,0.972607633559368,1,1,0.0106063643692126,"Initials"
"166","AT-aux-cis-IR8-ARF3",0.000447732475911668,-0.264250129829142,1,1,0.0299980758860817,"Initials"
"167","AT-aux-cistrans-DR5-TGTCNN-up",0.000501730900991959,-0.47951760643886,1,1,0.0336159703664612,"Initials"
"168","random2",0.000549237779199748,-0.25414744331779,1,1,0.0367989312063831,"Initials"
"169","AT-aux-cistrans-IR8-ARF5-1-up",0.000574532340707424,0.397283597194458,1,1,0.0384936668273974,"Initials"
"170","AT-aux-trans-Transport",0.00101864873992756,-0.606882778036775,1,1,0.0682494655751462,"Initials"
"171","random1",0.00152524492434218,-0.265862486644108,1,1,0.102191409930926,"Initials"
"172","AT-aux-cis-IR8-ARF6",0.00203729706038523,-0.197313050100704,1,1,0.13649890304581,"Initials"
"173","AT-aux-cis-IR8-ARF8",0.00203729706038523,-0.197313050100704,1,1,0.13649890304581,"Initials"
"174","AT-aux-cistrans-DR5-ARF1-up",0.00356203934565917,0.601225107367068,1,1,0.238656636159164,"Initials"
"175","AT-aux-cistrans-IR8-ARF1-down",0.00423699576996976,-0.462050848115682,0.938,1,0.283878716587974,"Initials"
