"Organ","Tissue_Cleaned","ARF","Synthesis","PAT","Old_IAA","Conjugation","n_cells","ARF_hat","residual"
"Bud","Bud-unknown",0.116578064560296,0.0175418100452387,0.0252423182357108,0.101764778586856,0.0636881745668915,587,0.102251035933548,0.014327028626748
"Bud","Bud_axis",0.18956225487392,0.0327520888530538,0.0393282777374352,0.115426814056234,0.0522081472937058,171,0.134521954072637,0.0550403008012824
"Bud","Bud_primordium",0.140676081354653,0.00987510583027963,0.0579102715450979,0.145235148698217,0.0816411792337467,903,0.117513332497599,0.0231627488570538
"Bud","Epidermis",0.175317497096404,0.029975103252014,0.0498541628698081,0.138537785642705,0.0574542666698011,1332,0.138345181468193,0.0369723156282112
"Bud","Parenchyma_cell",0.133100228911197,0.0199397182255796,0.0305870383899664,0.136853368666063,0.0568842546096276,3751,0.105170959743353,0.0279292691678439
"Bud","Root_meristem",0.147053743609407,0.0288732057317396,0.0316730382425915,0.119968231312388,0.0584517299552542,1457,0.126629792550013,0.0204239510593935
"Bud","Shoot_apical_meristem",0.149685762128033,0.0299660476258375,0.0304711139295332,0.138294127486374,0.0561089879885984,304,0.126537015391502,0.0231487467365313
"Bud","Vascular_cylinder",0.15239083916069,0.0137451324207251,0.0847007108427729,0.161849790236584,0.0617085784604512,353,0.125301396311517,0.0270894428491727
"Flag leaf","Epidermis",0.091093861877562,0.0112627289319221,0.00803923890325562,0.0897762150694891,0.10727435323813,632,0.112943521001128,-0.0218496591235665
"Flag leaf","Fiber",0.112985222407486,0.00889689043455994,0.00562264537732752,0.0495732942824424,0.0707936342987982,245,0.0779287893017435,0.0350564331057427
"Flag leaf","Guard_cell",0.0849251655873555,0.0125714426143489,0.0164061949926505,0.0506975851696438,0.107422317860894,485,0.120570526434783,-0.0356453608474271
"Flag leaf","Mesophyll",0.0680006671350782,0.00801165798458477,0.00343731994088882,0.0611159815970176,0.0745260308127111,2582,0.0776860620991646,-0.00968539496408637
"Flag leaf","Vascular_cylinder",0.102758770011861,0.0143262577592772,0.11177607929801,0.163852158378969,0.111681063102391,450,0.180586163112337,-0.0778273931004761
"Root","Cortex",0.154059314150419,0.0280844438768842,0.0720171896261811,0.45508953850525,0.0379814427395699,2733,0.131267976576502,0.0227913375739169
"Root","Endodermis",0.24774969447257,0.0423071538121933,0.115709752295502,0.518236275655071,0.0501661264992005,1378,0.196242820493323,0.0515068739792474
"Root","Epidermis",0.128241085762913,0.0210277456391473,0.0773055137058325,0.352015532233697,0.0450952432593279,8489,0.12424172798768,0.00399935777523302
