"Organ","mean_residual","SE","n"
"Bud",0.0285117254657796,0.00443544942416751,8
"Flag leaf",-0.0219902749859627,0.0183166616479257,5
"Leaf",-0.034105082436875,0.0126272923041291,6
"Root",0.00321610303175338,0.01262467648395,9
"Seed",-0.0225613826801497,0.0261744782634969,5
"Shoot apical meristem",0.0231428039669414,0.0105888584888981,7
"Spikelet",0.039532510126863,0.0166760718785899,10
"Stem",-0.00219598788077418,0.0129554218775602,6
