"model","term","estimate","SE","t","p_value"
"Old OSA IAA panel","Synthesis",2.40374836160822,0.595994253269533,4.03317372344049,0.000177422351113848
"Old OSA IAA panel","Old_IAA",0.324394190937883,0.0846625543573346,3.83161355572518,0.000339244583361637
"Old OSA IAA panel","PAT",0.165678759325836,0.232497779160562,0.712603621092739,0.47921669810017
"Expanded ConjugationDeconjugation panel","Synthesis",2.19775755498887,0.487371986274085,4.50940476039775,3.6329136953372e-05
"Expanded ConjugationDeconjugation panel","Conjugation",0.780587853759589,0.127427916914103,6.12572089902221,1.14144941973719e-07
"Expanded ConjugationDeconjugation panel","PAT",0.553997249889091,0.157852175491334,3.50959527903056,0.00092451668097927
