"model","n_groups","adjusted_R2","RMSE","residual_SE","AIC"
"Old OSA IAA panel",56,0.84334605045198,0.0513707974652814,0.0528046765017813,-165.571650276569
"Expanded ConjugationDeconjugation panel",56,0.882876545435483,0.0444188765381994,0.0456587112115086,-181.857048576387
