"term","estimate","SE","t","p_value"
"Synthesis",-0.223651399398407,0.767457876660015,-0.291418468948081,0.773732266659319
"Conjugation",3.03544989609144,1.1403716734205,2.66180752016289,0.0149763147045032
"PAT",0.0500723686906412,0.282905564158871,0.176993226837073,0.861293842980563
