"tissue","mean_residual","SE","n_subtypes","cells"
"Cortex",0.0198253753194432,0.00759727219428488,3,5418
"Endodermis",0.0841680667594572,0.00275415701097217,2,902
"Epidermis",0.00323302233349051,0.00529195181217754,6,6597
"Lateral root primordium",0.021096602314531,NA,1,2539
"Pericycle (XPP)",-0.00740991350801717,0.00579727875976485,3,557
"Procambium",0.158981099324721,NA,1,12
"Root cap",0.00655404150854546,0.00598742343677117,2,765
"Stem cell niche",0.0570040105228412,0.0157830344961614,2,235
"Xylem",-0.0734552831258727,0.0624671594466855,3,155
