predicted.Atlas_new_raw	cells	median_score	median_margin	accepted_fraction	broad_compatible_fraction
Trichoblast_t	4519	0.466197331333546	0.150649399838071	0.377517149811905	1
Cortex_t	4025	0.440013345168969	0.231912000541656	0	1
LRP	1883	0.851282040726328	0.745144817760477	0.894848645778014	1
Cortex_m2	1714	0.629498783937016	0.377911865369204	0.709451575262544	1
Cortex_m1	1131	0.780246298157078	0.560492596314155	0.909814323607427	1
Endodermis_t	1079	0.518191211772895	0.318324036484334	0.783132530120482	1
XPP_m2	744	0.394917993861707	0.150696696979622	0.0228494623655914	1
Atrichoblast_m2	643	0.449456176991319	0.244699880325411	0.35303265940902	1
Trichoblast_e1	608	0.42490959716831	0.0435399000249453	0.0625	1
SI	558	0.450602753183393	0.143806407656967	0.152329749103943	1
LRC	554	0.5851539348186	0.193269915280266	0.716606498194946	1
XPP_e1	448	0.191319532587125	0.0426921104957273	0	1
Young LRC	349	0.708297192082757	0.448658134639546	0.828080229226361	1
Endodermis_m1	299	0.658074045306582	0.485421123766192	0.775919732441472	1
XPP_t	292	0.276827059444671	0.0547799447651563	0	1
Protoxylem_t	266	0.315570907076985	0.143301863829442	0.112781954887218	1
Protoxylem_e2	214	0.267635357025014	0.0807574858897346	0	1
PCC_e1	179	0.196099845031372	0.0438609892598853	0	1
XPP_m1	161	0.561974074778896	0.377361688611626	0.590062111801242	1
Atrichoblast_t	69	0.287857557396287	0.0902549399935106	0	1
Protoxylem_d	62	0.412859710771299	0.0914818726511676	0.17741935483871	1
Atrichoblast_m1	58	0.67135016394794	0.37849538763682	0.844827586206897	1
PPP_t	36	0.322985488373289	0.0555407660491803	0	1
Procambium_t	33	0.163611536615358	0.0122956958851029	0	1
LRCEI	25	0.40707545515537	0.0331711737830968	0.04	1
XPP_d	15	0.160623368777632	0.0164255632133072	0	1
PPP_e1	8	0.157464441867858	0.0136354924893207	0	1
PSE_t	6	0.179183263003795	0.0440944903795519	0	1
Procambium_d	6	0.186168036765939	0.0416368563646242	0	1
Metaxylem_m1	6	0.211315877317061	0.0295887798132389	0	1
Metaxylem_d	5	0.282428607547002	0.0697495232594312	0	1
PCC_t	4	0.146986757033309	0.0178372595795315	0	1
Atrichoblast_d	1	0.264911471354608	0.0575521708261087	0	1
