iSensor,reg_class__iSensors_spearman_sc-endo,Rho1__PerformanseTest1_stat,p-value__PerformanseTest1_stat,Rho__PerformanseTest3_stat,p3__PerformanseTest3_stat,rho.rho__iSensors_spearman_sc-endo,p_value__iSensors_spearman_sc-endo,estimate__Statistics-exo-scdata,p_adj__Statistics-exo-scdata
IR8-ARF5syn-up,reg,0.784449635,7.91E-10,0.811569364,1.60E-07,0.086515245,0.661570332,0.213704629,9.60E-04
IR8-ARF6,cis,0.089242529,0.574097583,0.206951664,0.290670959,-0.076078485,0.70040491,-0.078573585,0.00496542
IR8-ARF6-down,reg,-0.741779738,1.90E-08,-0.79857953,3.52E-07,-0.04724007,0.81133258,-0.140152661,7.90E-04
IR8-ARF6-up,reg,0.778725624,1.26E-09,0.869728391,1.87E-09,0.146389288,0.457287227,0.12521969,0.078852691
IR8-ARF8,cis,0.089242529,0.574097583,0.206951664,0.290670959,0.026641202,0.892953161,-0.078573585,0.00496542
IR8-ARF8-down,reg,-0.741779738,1.90E-08,-0.79857953,3.52E-07,-0.07855035,0.691136001,-0.140152661,7.90E-04
IR8-ARF8-up,reg,0.778725624,1.26E-09,0.869728391,1.87E-09,0.039000523,0.843798502,0.12521969,0.078852691
IR8-TGTCNN,cis,0.254198107,0.10427229,0.545277779,0.002692483,0.195826571,0.317946828,-0.100013212,0.004712877
IR8-TGTCNN-down,reg,-0.765196145,3.61E-09,-0.732449469,9.37E-06,-0.136501831,0.488547235,0.009147872,0.603642585
IR8-TGTCNN-up,reg,0.744901925,1.54E-08,0.792675061,4.95E-07,-0.249932931,0.199598549,-0.139030248,0.062055142
PolarAuxinTransport,trans,0.748544477,1.20E-08,0.883308671,4.85E-10,0.810771441,1.69E-07,-0.372120381,0.005727717
Receptors,trans,-0.142840083,0.366837812,-0.789132379,6.03E-07,0.177150264,0.367154999,-0.325938276,0.006469936
Synthesis,trans,-0.247433367,0.114144454,-0.776142545,1.21E-06,0.661360986,1.27E-04,-0.439647605,8.27E-04
Transport,trans,0.724607706,5.78E-08,0.921687724,3.39E-12,0.703657328,2.95E-05,-0.027869659,0.818825458
majortrend,other,0.806304948,1.16E-10,-0.599008454,7.57E-04,0.181270038,0.355934779,-0.049465634,0.008462771
random1,other,0.213089304,0.175442569,-0.581885491,0.001161645,0.11535366,0.55886929,0.002875702,0.870282092
random2,other,0.775083072,1.69E-09,0.859986015,4.51E-09,0,1,-0.047583277,0.052932152
