iSensor,id__bulk-limma-results,effect__bulk-limma-results,AveExpr__bulk-limma-results,t__bulk-limma-results,p_value__bulk-limma-results,p_adj__bulk-limma-results,B__bulk-limma-results,neglog10_fdr__bulk-limma-results,iSensor_raw.x,id__iSensors_spearman_sc-endo,rho.rho__iSensors_spearman_sc-endo,p_value__iSensors_spearman_sc-endo,assay__iSensors_spearman_sc-endo,clean_panel__iSensors_spearman_sc-endo,significance__iSensors_spearman_sc-endo,reg_class__iSensors_spearman_sc-endo,iSensor_raw.y,Rho1__PerformanseTest1_stat,p-value__PerformanseTest1_stat,iSensor_raw.x.x,id__Statistics-exo-scdata,estimate__Statistics-exo-scdata,std.error__Statistics-exo-scdata,statistic__Statistics-exo-scdata,p.value__Statistics-exo-scdata,p_adj__Statistics-exo-scdata,effect__Statistics-exo-scdata,lo__Statistics-exo-scdata,hi__Statistics-exo-scdata,term__Statistics-exo-scdata,class__Statistics-exo-scdata,iSensor_raw.y.y,id__Statistics-rho-exo-scdata,rho__Statistics-rho-exo-scdata,p_value__Statistics-rho-exo-scdata,p_adj__Statistics-rho-exo-scdata,iSensor_raw
DR5-ARF3-down,37,-0.0360016280516394,1.1738364759587,-11.6570692022216,4.24129634383154e-21,6.87777785486197e-21,35.306602955902,20.1625518555518,AT-aux-cistrans-DR5-ARF3-down,52,0.274651572,0.157235661,iSensor_mean_normed,DR5-ARF3-down,not significant,reg,AT-aux-cistrans-DR5-ARF3-down,-0.690263642,4.24e-7,AT-aux-cistrans-DR5-ARF3-down,38,-0.425679879,0.097282468,-4.375710133,0.004689931,0.00826909,-0.425679879,-0.616353516,-0.235006243,conditionAuxin,Down,AT-aux-cistrans-DR5-ARF3-down,24,-0.87258319067849,0.00468993139256477,0.00826908956057472,AT-aux-cistrans-DR5-ARF3-down
DR5-ARF3-up,2,0.0902538843737433,1.153108668418,43.1797428783187,4.51948323015519e-72,1.35584496904656e-70,153.412458851149,69.867789966027,AT-aux-cistrans-DR5-ARF3-up,44,0.196650526,0.315874327,iSensor_mean_normed,DR5-ARF3-up,not significant,reg,AT-aux-cistrans-DR5-ARF3-up,0.809427136,8.65e-11,AT-aux-cistrans-DR5-ARF3-up,15,0.696977411,0.087425929,7.972204792,2.07431e-4,9.26526e-4,0.696977411,0.52562259,0.868332232,conditionAuxin,Up,AT-aux-cistrans-DR5-ARF3-up,25,0.955896768188333,2.0743115267e-4,9.2652581525934e-4,AT-aux-cistrans-DR5-ARF3-up
DR5-ARF5-1,56,5.47293588506683e-4,1.01679431409971,3.18821760183925,0.0018521437054885,0.00198443968445197,-4.78936790328215,2.70236209660956,AT-aux-cis-DR5-ARF5-1,48,0.244439899,0.209985685,iSensor_mean_normed,DR5-ARF5-1,not significant,cis,AT-aux-cis-DR5-ARF5-1,0.57578343,6.62e-5,AT-aux-cis-DR5-ARF5-1,21,-0.076988293,0.011664484,-6.600231155,5.81574e-4,0.001855497,-0.076988293,-0.099850682,-0.054125904,conditionAuxin,Down,AT-aux-cis-DR5-ARF5-1,4,-0.937519108056596,5.8157375116537e-4,0.00185549720609906,AT-aux-cis-DR5-ARF5-1
DR5-ARF5-1-down,41,-0.0218362468098487,1.15208109459366,-10.0864723697619,1.8998663429924e-17,2.78029220925717e-17,26.8947828159159,16.5559095572478,AT-aux-cistrans-DR5-ARF5-1-down,35,0.161220473,0.41245228,iSensor_mean_normed,DR5-ARF5-1-down,not significant,reg,AT-aux-cistrans-DR5-ARF5-1-down,-0.267727587,0.086499324,AT-aux-cistrans-DR5-ARF5-1-down,2,-0.383030654,0.034682133,-11.04403391,3.27914e-5,6.56441e-4,-0.383030654,-0.451007635,-0.315053673,conditionAuxin,Down,AT-aux-cistrans-DR5-ARF5-1-down,26,-0.976275710069463,3.279139815524e-5,6.5644139198874e-4,AT-aux-cistrans-DR5-ARF5-1-down
DR5-ARF5-1-up,15,0.0498843732223884,1.06959086632182,25.871058007856,2.69429150099075e-49,1.0777166003963e-48,100.576476772784,47.9674954275215,AT-aux-cistrans-DR5-ARF5-1-up,31,0.143917424,0.465001542,iSensor_mean_normed,DR5-ARF5-1-up,not significant,reg,AT-aux-cistrans-DR5-ARF5-1-up,0.779766353,1.16e-9,AT-aux-cistrans-DR5-ARF5-1-up,19,0.242779606,0.034010158,7.138443925,3.80719e-4,0.00130444,0.242779606,0.176119696,0.309439516,conditionAuxin,Up,AT-aux-cistrans-DR5-ARF5-1-up,27,0.945863668294236,3.8071863389018e-4,0.00130444028020834,AT-aux-cistrans-DR5-ARF5-1-up
DR5-ARF5-2,53,0.00140299683100698,1.03490288968978,4.17386998249321,5.90953359847701e-5,6.69003803601171e-5,-1.5264555047714,4.17457141305683,AT-aux-cis-DR5-ARF5-2,45,0.212305665,0.278089544,iSensor_mean_normed,DR5-ARF5-2,not significant,cis,AT-aux-cis-DR5-ARF5-2,-0.188632168,0.231556199,AT-aux-cis-DR5-ARF5-2,24,-0.070763235,0.011312076,-6.25554784,7.74092e-4,0.002161006,-0.070763235,-0.092934904,-0.048591565,conditionAuxin,Down,AT-aux-cis-DR5-ARF5-2,5,-0.931158566941108,7.7409175963599e-4,0.00216100616231715,AT-aux-cis-DR5-ARF5-2
DR5-ARF5-2-down,50,-0.0232232127818718,1.11972591112649,-6.93524507396554,2.67202685910029e-10,3.20643223092035e-10,10.5137534198104,9.49397793461727,AT-aux-cistrans-DR5-ARF5-2-down,55,0.386434762,0.042227159,iSensor_mean_normed,DR5-ARF5-2-down,not significant,reg,AT-aux-cistrans-DR5-ARF5-2-down,-0.470669781,0.001657118,AT-aux-cistrans-DR5-ARF5-2-down,58,-0.054814608,0.028900831,-1.896644692,0.106664894,0.123216343,-0.054814608,-0.111460237,0.001831021,conditionAuxin,n.s.,AT-aux-cistrans-DR5-ARF5-2-down,28,-0.612226783648943,0.106664893832972,0.123216342876019,AT-aux-cistrans-DR5-ARF5-2-down
DR5-ARF5-2-up,13,0.0666989078421055,1.07704426921645,26.6428373582645,1.54628388276776e-50,7.13669484354349e-50,103.454785799567,49.1465028727539,AT-aux-cistrans-DR5-ARF5-2-up,11,-0.046965419,0.812410183,iSensor_mean_normed,DR5-ARF5-2-up,not significant,reg,AT-aux-cistrans-DR5-ARF5-2-up,0.779245989,1.21e-9,AT-aux-cistrans-DR5-ARF5-2-up,48,0.212402515,0.060983695,3.482939428,0.013095501,0.018536083,0.212402515,0.092874473,0.331930557,conditionAuxin,Up,AT-aux-cistrans-DR5-ARF5-2-up,29,0.817968604750546,0.0130955006245507,0.0185360830213745,AT-aux-cistrans-DR5-ARF5-2-up
DR5-ARF5syn,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0.018127004,0.927053022,iSensor_mean_normed,DR5-ARF5syn,not significant,cis,AT-aux-cis-DR5-ARF5syn,0.730331716,4.03e-8,AT-aux-cis-DR5-ARF5syn,27,-0.068702257,0.012074789,-5.689727328,0.001272038,0.003156538,-0.068702257,-0.092368844,-0.045035671,conditionAuxin,Down,AT-aux-cis-DR5-ARF5syn,6,-0.918498801005965,0.0012720377668598,0.00315653816220764,AT-aux-cis-DR5-ARF5syn
DR5-ARF5syn-down,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0.249658279,0.200109357,iSensor_mean_normed,DR5-ARF5syn-down,not significant,reg,AT-aux-cistrans-DR5-ARF5syn-down,-0.591914733,3.65e-5,AT-aux-cistrans-DR5-ARF5syn-down,17,-0.321066443,0.041940715,-7.655244827,2.5959e-4,0.001023092,-0.321066443,-0.403270244,-0.238862641,conditionAuxin,Down,AT-aux-cistrans-DR5-ARF5syn-down,30,-0.952430958276875,2.5959042905426e-4,0.00102309169097856,AT-aux-cistrans-DR5-ARF5syn-down
