iSensor,id__bulk-limma-results,effect__bulk-limma-results,AveExpr__bulk-limma-results,t__bulk-limma-results,p_value__bulk-limma-results,p_adj__bulk-limma-results,B__bulk-limma-results,neglog10_fdr__bulk-limma-results,iSensor_raw.x,id__iSensors_spearman_sc-endo,rho.rho__iSensors_spearman_sc-endo,p_value__iSensors_spearman_sc-endo,assay__iSensors_spearman_sc-endo,clean_panel__iSensors_spearman_sc-endo,significance__iSensors_spearman_sc-endo,reg_class__iSensors_spearman_sc-endo,iSensor_raw.y,Rho1__PerformanseTest1_stat,p-value__PerformanseTest1_stat,iSensor_raw.x.x,id__Statistics-exo-scdata,estimate__Statistics-exo-scdata,std.error__Statistics-exo-scdata,statistic__Statistics-exo-scdata,p.value__Statistics-exo-scdata,p_adj__Statistics-exo-scdata,effect__Statistics-exo-scdata,lo__Statistics-exo-scdata,hi__Statistics-exo-scdata,term__Statistics-exo-scdata,class__Statistics-exo-scdata,iSensor_raw.y.y,id__Statistics-rho-exo-scdata,rho__Statistics-rho-exo-scdata,p_value__Statistics-rho-exo-scdata,p_adj__Statistics-rho-exo-scdata,iSensor_raw
DR5-TGTCNN-up,7,0.0757928087031727,1.06062243944876,34.5609445169605,6.51871689874486e-62,5.58747162749559e-61,129.841400528163,60.2527846691492,AT-aux-cistrans-DR5-TGTCNN-up,54,0.363638681,0.05714891,iSensor_mean_normed,DR5-TGTCNN-up,not significant,reg,AT-aux-cistrans-DR5-TGTCNN-up,0.776644166,1.49e-9,AT-aux-cistrans-DR5-TGTCNN-up,63,0.022052312,0.033024439,0.667757336,0.529121652,0.562716677,0.022052312,-0.042675589,0.086780213,conditionAuxin,n.s.,AT-aux-cistrans-DR5-TGTCNN-up,37,0.263012803659367,0.529121651669044,0.56271667717184,AT-aux-cistrans-DR5-TGTCNN-up
IAA,1,0.141623137632145,1.1439201895228,44.4114834477246,2.24341446314326e-73,1.34604867788595e-71,156.438460760675,70.8709392342019,AT-aux-trans-IAA,63,0.666579366,1.07488e-4,iSensor_mean_normed,IAA,significant,trans,AT-aux-trans-IAA,0.743340831,1.71e-8,AT-aux-trans-IAA,47,-0.411198269,0.118449979,-3.471492956,0.013279582,0.018536083,-0.411198269,-0.643360229,-0.17903631,conditionAuxin,Down,AT-aux-trans-IAA,59,-0.817076062493314,0.0132795818660593,0.0185360830213745,AT-aux-trans-IAA
IR8-ARF1,58,1.52449191880322e-4,1.02050711846232,0.437897565857767,0.662296431826025,0.685134239820026,-9.60223045318352,0.164224327921689,AT-aux-cis-IR8-ARF1,26,0.088987109,0.652492362,iSensor_mean_normed,IR8-ARF1,not significant,cis,AT-aux-cis-IR8-ARF1,0.124106957,0.433587939,AT-aux-cis-IR8-ARF1,26,-0.156349089,0.027385114,-5.709272799,0.00124965,0.003156538,-0.156349089,-0.210023913,-0.102674265,conditionAuxin,Down,AT-aux-cis-IR8-ARF1,11,-0.918990018400387,0.00124964968611773,0.00315653816220764,AT-aux-cis-IR8-ARF1
IR8-ARF1-down,48,-0.0215468872466071,1.19427760033534,-7.66565850333496,6.69666986014016e-12,8.3708373251752e-12,14.1673277195274,11.0772310978592,AT-aux-cistrans-IR8-ARF1-down,2,-0.302940684,0.117112934,iSensor_mean_normed,IR8-ARF1-down,not significant,reg,AT-aux-cistrans-IR8-ARF1-down,-0.590353639,3.87e-5,AT-aux-cistrans-IR8-ARF1-down,46,-0.158528485,0.043679171,-3.629384023,0.010973241,0.015982764,-0.158528485,-0.24413966,-0.07291731,conditionAuxin,Down,AT-aux-cistrans-IR8-ARF1-down,38,-0.828885153607841,0.0109732407376205,0.015982763683056,AT-aux-cistrans-IR8-ARF1-down
IR8-ARF1-up,25,0.0527475401890309,1.02325932792406,17.3565960328101,1.16307021859517e-33,2.79136852462842e-33,64.3436356036402,32.5541828228997,AT-aux-cistrans-IR8-ARF1-up,20,0.029937021,0.879799755,iSensor_mean_normed,IR8-ARF1-up,not significant,reg,AT-aux-cistrans-IR8-ARF1-up,0.701711663,2.25e-7,AT-aux-cistrans-IR8-ARF1-up,18,-0.145637976,0.019882455,-7.324949541,3.30726e-4,0.001231035,-0.145637976,-0.184607587,-0.106668365,conditionAuxin,Down,AT-aux-cistrans-IR8-ARF1-up,39,-0.948378343299649,3.3072572550449e-4,0.00123103464493341,AT-aux-cistrans-IR8-ARF1-up
IR8-ARF2,36,0.00360659369358802,1.01338393761221,13.0545237670549,2.62373938181967e-24,4.37289896969945e-24,42.7121143106461,23.359230556364,AT-aux-cis-IR8-ARF2,12,-0.017303049,0.930360669,iSensor_mean_normed,IR8-ARF2,not significant,cis,AT-aux-cis-IR8-ARF2,0.528430251,3.21695e-4,AT-aux-cis-IR8-ARF2,42,-0.060587566,0.014708912,-4.11910591,0.006222477,0.009926333,-0.060587566,-0.089417033,-0.031758098,conditionAuxin,Down,AT-aux-cis-IR8-ARF2,12,-0.859509154660519,0.00622247713367779,0.00992633257039077,AT-aux-cis-IR8-ARF2
IR8-ARF2-down,26,-0.0412937208766165,1.17719790504491,-17.2101911885754,2.33456652326481e-33,5.38746120753417e-33,63.6430910145666,32.2686158439615,AT-aux-cistrans-IR8-ARF2-down,13,-0.010162108,0.959068629,iSensor_mean_normed,IR8-ARF2-down,not significant,reg,AT-aux-cistrans-IR8-ARF2-down,-0.78392927,8.26e-10,AT-aux-cistrans-IR8-ARF2-down,50,0.134316639,0.048576575,2.765049581,0.032635343,0.04373136,0.134316639,0.039106552,0.229526727,conditionAuxin,Up,AT-aux-cistrans-IR8-ARF2-down,40,0.748528273602719,0.0326353431469428,0.0437313598169033,AT-aux-cistrans-IR8-ARF2-down
IR8-ARF2-up,8,0.0813318595890564,1.0923241678795,33.4589293873184,1.8370688996351e-60,1.37780167472632e-59,126.477440895862,58.860813291696,AT-aux-cistrans-IR8-ARF2-up,15,-0.004394425,0.982294003,iSensor_mean_normed,IR8-ARF2-up,not significant,reg,AT-aux-cistrans-IR8-ARF2-up,0.751666665,9.64e-9,AT-aux-cistrans-IR8-ARF2-up,60,0.064355118,0.057536347,1.118512407,0.306119781,0.341833756,0.064355118,-0.048416122,0.177126358,conditionAuxin,n.s.,AT-aux-cistrans-IR8-ARF2-up,41,0.415374428509963,0.306119781065938,0.341833755523631,AT-aux-cistrans-IR8-ARF2-up
IR8-ARF3,20,0.00841834467408809,1.02001439781849,19.953045537947,7.84662112666702e-39,2.35398633800011e-38,76.3198361897441,37.6281960620314,AT-aux-cis-IR8-ARF3,40,0.180171431,0.358906744,iSensor_mean_normed,IR8-ARF3,not significant,cis,AT-aux-cis-IR8-ARF3,0.781327447,1.02e-9,AT-aux-cis-IR8-ARF3,25,-0.119766091,0.020239823,-5.917348699,0.001037223,0.002779759,-0.119766091,-0.159436144,-0.080096037,conditionAuxin,Down,AT-aux-cis-IR8-ARF3,13,-0.923965428078053,0.00103722334411651,0.00277975856223226,AT-aux-cis-IR8-ARF3
IR8-ARF3-down,52,-0.0126231066683993,1.21016853081198,-5.01513572723315,1.98413809413856e-6,2.28939010862141e-6,1.75560089287534,5.64028019789506,AT-aux-cistrans-IR8-ARF3-down,17,0.006591638,0.973443569,iSensor_mean_normed,IR8-ARF3-down,not significant,reg,AT-aux-cistrans-IR8-ARF3-down,0.033043152,0.835433429,AT-aux-cistrans-IR8-ARF3-down,39,-0.154302695,0.035823679,-4.307282209,0.005052401,0.008462771,-0.154302695,-0.224517106,-0.084088284,conditionAuxin,Down,AT-aux-cistrans-IR8-ARF3-down,42,-0.869268365861562,0.00505240083310613,0.00846277139545277,AT-aux-cistrans-IR8-ARF3-down
IR8-ARF3-up,3,0.107874079929605,1.04152805320401,41.3902130939011,4.07221614411451e-70,8.14443228822903e-69,148.876975634676,68.0891391830169,AT-aux-cistrans-IR8-ARF3-up,29,0.119748085,0.54388515,iSensor_mean_normed,IR8-ARF3-up,not significant,reg,AT-aux-cistrans-IR8-ARF3-up,0.769359061,2.63e-9,AT-aux-cistrans-IR8-ARF3-up,66,0.014343052,0.084163503,0.170418901,0.870282092,0.870282092,0.014343052,-0.150617414,0.179303517,conditionAuxin,n.s.,AT-aux-cistrans-IR8-ARF3-up,43,0.0694054516868091,0.870282091842283,0.870282091842283,AT-aux-cistrans-IR8-ARF3-up
IR8-ARF5-1,16,0.00534157631392275,1.03338922018114,25.213838458404,3.2240399112898e-48,1.20901496673368e-47,98.0768068772091,46.9175683228534,AT-aux-cis-IR8-ARF5-1,30,0.121121343,0.539241505,iSensor_mean_normed,IR8-ARF5-1,not significant,cis,AT-aux-cis-IR8-ARF5-1,0.817752969,3.84e-11,AT-aux-cis-IR8-ARF5-1,7,-0.104175252,0.010731344,-9.707567703,6.85834e-5,6.56441e-4,-0.104175252,-0.125208688,-0.083141817,conditionAuxin,Down,AT-aux-cis-IR8-ARF5-1,14,-0.969609089571061,6.858342901374e-5,6.5644139198874e-4,AT-aux-cis-IR8-ARF5-1
IR8-ARF5-1-down,31,-0.0373805127878719,1.13100779598238,-14.6348950320547,7.54853763557821e-28,1.46100728430546e-27,50.8953408105068,26.8353476187503,AT-aux-cistrans-IR8-ARF5-1-down,47,0.228510108,0.242166757,iSensor_mean_normed,IR8-ARF5-1-down,not significant,reg,AT-aux-cistrans-IR8-ARF5-1-down,-0.729290987,4.31e-8,AT-aux-cistrans-IR8-ARF5-1-down,30,-0.250289941,0.047512989,-5.267821443,0.001887162,0.004214661,-0.250289941,-0.343415399,-0.157164483,conditionAuxin,Down,AT-aux-cistrans-IR8-ARF5-1-down,44,-0.906764534318445,0.00188716165610725,0.00421466103197286,AT-aux-cistrans-IR8-ARF5-1-down
IR8-ARF5-1-up,4,0.0829495453751228,1.0747415178298,39.2517579288315,1.10997457484516e-67,1.66496186226773e-66,143.226068081776,65.7785957100234,AT-aux-cistrans-IR8-ARF5-1-up,23,0.058500785,0.767461546,iSensor_mean_normed,IR8-ARF5-1-up,not significant,reg,AT-aux-cistrans-IR8-ARF5-1-up,0.793295833,3.74e-10,AT-aux-cistrans-IR8-ARF5-1-up,5,0.251985165,0.025540665,9.866037929,6.25468e-5,6.56441e-4,0.251985165,0.201925463,0.302044868,conditionAuxin,Up,AT-aux-cistrans-IR8-ARF5-1-up,45,0.970535162577777,6.254679236778e-5,6.5644139198874e-4,AT-aux-cistrans-IR8-ARF5-1-up
IR8-ARF5-2,14,0.0114869299766286,1.0251530290728,26.1327932504632,1.015256182356e-49,4.35109792438286e-49,101.559429903862,48.3614011425081,AT-aux-cis-IR8-ARF5-2,22,0.043944252,0.824285464,iSensor_mean_normed,IR8-ARF5-2,not significant,cis,AT-aux-cis-IR8-ARF5-2,0.751666665,9.64e-9,AT-aux-cis-IR8-ARF5-2,6,-0.16356189,0.016332032,-10.01479129,5.74337e-5,6.56441e-4,-0.16356189,-0.195572673,-0.131551108,conditionAuxin,Down,AT-aux-cis-IR8-ARF5-2,15,-0.971367012657031,5.743367555156e-5,6.5644139198874e-4,AT-aux-cis-IR8-ARF5-2
IR8-ARF5-2-down,40,-0.0317578929881453,1.22741368587939,-10.4809526403208,2.29289186953027e-18,3.43933780429541e-18,29.008591776291,17.4635251666215,AT-aux-cistrans-IR8-ARF5-2-down,1,-0.365561242,0.055750072,iSensor_mean_normed,IR8-ARF5-2-down,not significant,reg,AT-aux-cistrans-IR8-ARF5-2-down,-0.847934116,1.38e-12,AT-aux-cistrans-IR8-ARF5-2-down,44,-0.217304278,0.057534425,-3.776943593,0.009213328,0.014029386,-0.217304278,-0.330071751,-0.104536805,conditionAuxin,Down,AT-aux-cistrans-IR8-ARF5-2-down,46,-0.839003841130631,0.00921332781035586,0.0140293855294055,AT-aux-cistrans-IR8-ARF5-2-down
IR8-ARF5-2-up,6,0.137480818646956,1.05920941435014,36.3851479740042,3.13531374193438e-64,3.13531374193438e-63,135.21914315572,62.5037189940444,AT-aux-cistrans-IR8-ARF5-2-up,6,-0.123867859,0.530010682,iSensor_mean_normed,IR8-ARF5-2-up,not significant,reg,AT-aux-cistrans-IR8-ARF5-2-up,0.749064842,1.16e-8,AT-aux-cistrans-IR8-ARF5-2-up,37,0.19312692,0.042268288,4.569073575,0.003814207,0.006906807,0.19312692,0.110281074,0.275972765,conditionAuxin,Up,AT-aux-cistrans-IR8-ARF5-2-up,47,0.88133767217102,0.00381420693347284,0.00690680714980217,AT-aux-cistrans-IR8-ARF5-2-up
IR8-ARF5syn,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,0.151333016,0.442063658,iSensor_mean_normed,IR8-ARF5syn,not significant,cis,AT-aux-cis-IR8-ARF5syn,0.795377291,3.12e-10,AT-aux-cis-IR8-ARF5syn,41,-0.04761832,0.011309037,-4.21064322,0.005619145,0.009182506,-0.04761832,-0.069784032,-0.025452607,conditionAuxin,Down,AT-aux-cis-IR8-ARF5syn,16,-0.864378589315482,0.00561914524620234,0.0091825056462331,AT-aux-cis-IR8-ARF5syn
IR8-ARF5syn-down,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,0.192805404,0.32561751,iSensor_mean_normed,IR8-ARF5syn-down,not significant,reg,AT-aux-cistrans-IR8-ARF5syn-down,-0.753227759,8.64e-9,AT-aux-cistrans-IR8-ARF5syn-down,20,-0.233622544,0.032862986,-7.108987155,3.89385e-4,0.00130444,-0.233622544,-0.298033996,-0.169211092,conditionAuxin,Down,AT-aux-cistrans-IR8-ARF5syn-down,48,-0.945450220023903,3.8938515827114e-4,0.00130444028020834,AT-aux-cistrans-IR8-ARF5syn-down
IR8-ARF5syn-up,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0.086515245,0.661570332,iSensor_mean_normed,IR8-ARF5syn-up,not significant,reg,AT-aux-cistrans-IR8-ARF5syn-up,0.784449635,7.91e-10,AT-aux-cistrans-IR8-ARF5syn-up,16,0.213704629,0.027294404,7.829613419,2.29237e-4,9.59932e-4,0.213704629,0.160207598,0.26720166,conditionAuxin,Up,AT-aux-cistrans-IR8-ARF5syn-up,49,0.954384997937484,2.292374521493e-4,9.5993183087519e-4,AT-aux-cistrans-IR8-ARF5syn-up
IR8-ARF6,59,1.4907004156374e-5,1.01736916487237,0.0533383415965863,0.957556513262249,0.957556513262249,-9.69743550534946,0.0188355853241635,AT-aux-cis-IR8-ARF6,9,-0.076078485,0.70040491,iSensor_mean_normed,IR8-ARF6,not significant,cis,AT-aux-cis-IR8-ARF6,0.089242529,0.574097583,AT-aux-cis-IR8-ARF6,32,-0.078573585,0.0157061,-5.002743058,0.002445654,0.00496542,-0.078573585,-0.109357541,-0.047789628,conditionAuxin,Down,AT-aux-cis-IR8-ARF6,17,-0.898121801947936,0.00244565444429505,0.0049654196293263,AT-aux-cis-IR8-ARF6
IR8-ARF6-down,29,-0.0317042103470491,1.11763620931559,-14.9635416001404,1.4314119788457e-28,2.8628239576914e-28,52.5651370477187,27.5432053570269,AT-aux-cistrans-IR8-ARF6-down,10,-0.04724007,0.81133258,iSensor_mean_normed,IR8-ARF6-down,not significant,reg,AT-aux-cistrans-IR8-ARF6-down,-0.741779738,1.9e-8,AT-aux-cistrans-IR8-ARF6-down,10,-0.140152661,0.016136477,-8.685456275,1.28593e-4,7.89753e-4,-0.140152661,-0.171780155,-0.108525167,conditionAuxin,Down,AT-aux-cistrans-IR8-ARF6-down,50,-0.962457039032088,1.2859262318548e-4,7.8975316975546e-4,AT-aux-cistrans-IR8-ARF6-down
IR8-ARF6-up,17,0.0533973246945426,1.12513044866207,24.5114752391175,4.81272531348567e-47,1.60424177116189e-46,95.3546373422521,45.7947301797121,AT-aux-cistrans-IR8-ARF6-up,32,0.146389288,0.457287227,iSensor_mean_normed,IR8-ARF6-up,not significant,reg,AT-aux-cistrans-IR8-ARF6-up,0.778725624,1.26e-9,AT-aux-cistrans-IR8-ARF6-up,56,0.12521969,0.056102702,2.231972547,0.067083633,0.078852691,0.12521969,0.015258395,0.235180986,conditionAuxin,n.s.,AT-aux-cistrans-IR8-ARF6-up,51,0.673525483172791,0.0670836325967799,0.0788526909470922,AT-aux-cistrans-IR8-ARF6-up
IR8-ARF8,60,1.4907004156374e-5,1.01736916487237,0.0533383415965863,0.957556513262249,0.957556513262249,-9.69743550534946,0.0188355853241635,AT-aux-cis-IR8-ARF8,19,0.026641202,0.892953161,iSensor_mean_normed,IR8-ARF8,not significant,cis,AT-aux-cis-IR8-ARF8,0.089242529,0.574097583,AT-aux-cis-IR8-ARF8,33,-0.078573585,0.0157061,-5.002743058,0.002445654,0.00496542,-0.078573585,-0.109357541,-0.047789628,conditionAuxin,Down,AT-aux-cis-IR8-ARF8,18,-0.898121801947936,0.00244565444429505,0.0049654196293263,AT-aux-cis-IR8-ARF8
IR8-ARF8-down,30,-0.0317042103470491,1.11763620931559,-14.9635416001404,1.4314119788457e-28,2.8628239576914e-28,52.5651370477187,27.5432053570269,AT-aux-cistrans-IR8-ARF8-down,8,-0.07855035,0.69113600100000006,iSensor_mean_normed,IR8-ARF8-down,not significant,reg,AT-aux-cistrans-IR8-ARF8-down,-0.741779738,1.9e-8,AT-aux-cistrans-IR8-ARF8-down,11,-0.140152661,0.016136477,-8.685456275,1.28593e-4,7.89753e-4,-0.140152661,-0.171780155,-0.108525167,conditionAuxin,Down,AT-aux-cistrans-IR8-ARF8-down,52,-0.962457039032088,1.2859262318548e-4,7.8975316975546e-4,AT-aux-cistrans-IR8-ARF8-down
IR8-ARF8-up,18,0.0533973246945426,1.12513044866207,24.5114752391175,4.81272531348567e-47,1.60424177116189e-46,95.3546373422521,45.7947301797121,AT-aux-cistrans-IR8-ARF8-up,21,0.039000523,0.843798502,iSensor_mean_normed,IR8-ARF8-up,not significant,reg,AT-aux-cistrans-IR8-ARF8-up,0.778725624,1.26e-9,AT-aux-cistrans-IR8-ARF8-up,57,0.12521969,0.056102702,2.231972547,0.067083633,0.078852691,0.12521969,0.015258395,0.235180986,conditionAuxin,n.s.,AT-aux-cistrans-IR8-ARF8-up,53,0.673525483172791,0.0670836325967799,0.0788526909470922,AT-aux-cistrans-IR8-ARF8-up
IR8-TGTCNN,54,0.00146410892810791,1.05092912048385,3.75893015512039,2.71804664184963e-4,3.02005182427736e-4,-2.98345516393957,3.51998560445855,AT-aux-cis-IR8-TGTCNN,43,0.195826571,0.317946828,iSensor_mean_normed,IR8-TGTCNN,not significant,cis,AT-aux-cis-IR8-TGTCNN,0.254198107,0.10427229,AT-aux-cis-IR8-TGTCNN,31,-0.100013212,0.019538031,-5.118899224,0.002180585,0.004712877,-0.100013212,-0.138307753,-0.061718671,conditionAuxin,Down,AT-aux-cis-IR8-TGTCNN,19,-0.902043625890746,0.00218058490758551,0.00471287705832996,AT-aux-cis-IR8-TGTCNN
IR8-TGTCNN-down,35,-0.0308027183029955,1.06688517492921,-13.7692114818868,6.37116193474042e-26,1.09219918881264e-25,46.4424645734898,24.9616981503553,AT-aux-cistrans-IR8-TGTCNN-down,5,-0.136501831,0.488547235,iSensor_mean_normed,IR8-TGTCNN-down,not significant,reg,AT-aux-cistrans-IR8-TGTCNN-down,-0.765196145,3.61e-9,AT-aux-cistrans-IR8-TGTCNN-down,64,0.009147872,0.015500458,0.590167852,0.576613813,0.603642585,0.009147872,-0.021233026,0.03952877,conditionAuxin,n.s.,AT-aux-cistrans-IR8-TGTCNN-down,54,0.234232359319032,0.576613812563738,0.603642585027663,AT-aux-cistrans-IR8-TGTCNN-down
IR8-TGTCNN-up,5,0.0799758979702676,1.09035264231798,38.8287511116452,3.47275719516424e-67,4.16730863419708e-66,142.07671732637,65.3801443341563,AT-aux-cistrans-IR8-TGTCNN-up,3,-0.249932931,0.199598549,iSensor_mean_normed,IR8-TGTCNN-up,not significant,reg,AT-aux-cistrans-IR8-TGTCNN-up,0.744901925,1.54e-8,AT-aux-cistrans-IR8-TGTCNN-up,53,-0.139030248,0.056627598,-2.455167667,0.049442659,0.062055142,-0.139030248,-0.25002034,-0.028040156,conditionAuxin,n.s.,AT-aux-cistrans-IR8-TGTCNN-up,55,-0.707924895878948,0.0494426585659484,0.0620551416194769,AT-aux-cistrans-IR8-TGTCNN-up
PolarAuxinTransport,21,0.0573495103015966,1.12558727048626,18.5650703834181,4.10031148241228e-36,1.17151756640351e-35,70.0233362256726,34.9312511949587,AT-aux-trans-PolarAuxinTransport,65,0.810771441,1.68527e-7,iSensor_mean_normed,PAT,significant,trans,AT-aux-trans-PolarAuxinTransport,0.748544477,1.2e-8,AT-aux-trans-PolarAuxinTransport,34,-0.372120381,0.077308712,-4.813433976,0.002959838,0.005727717,-0.372120381,-0.523645457,-0.220595305,conditionAuxin,Down,AT-aux-trans-PolarAuxinTransport,60,-0.891236895660637,0.00295983843525907,0.00572771736221347,AT-aux-trans-PolarAuxinTransport
Receptors,51,-0.0131423330343543,1.16759356372111,-6.58190084396847,1.51572709466452e-9,1.78320834666414e-9,8.79835063885099,8.7487979117206809,AT-aux-trans-Receptors,39,0.177150264,0.367154999,iSensor_mean_normed,Receptors,not significant,trans,AT-aux-trans-Receptors,-0.142840083,0.366837812,AT-aux-trans-Receptors,36,-0.325938276,0.069981303,-4.657505091,0.003476384,0.006469936,-0.325938276,-0.46310163,-0.188774922,conditionAuxin,Down,AT-aux-trans-Receptors,61,-0.88506140639041,0.00347638368189558,0.00646993629686121,AT-aux-trans-Receptors
Synthesis,45,-0.0153005468606365,0.833769686968961,-8.96853764757943,7.40541803882572e-15,9.8738907184343e-15,20.9401491427717,14.0055116837444,AT-aux-trans-Synthesis,62,0.661360986,1.2714e-4,iSensor_mean_normed,Synthesis,significant,trans,AT-aux-trans-Synthesis,-0.247433367,0.114144454,AT-aux-trans-Synthesis,13,-0.439647605,0.052658513,-8.349031935,1.60419e-4,8.26777e-4,-0.439647605,-0.54285829,-0.33643692,conditionAuxin,Down,AT-aux-trans-Synthesis,62,-0.959555310458716,1.6041936456159e-4,8.2677672504821e-4,AT-aux-trans-Synthesis
Transport,24,0.0336026861772719,1.14145491954438,17.498912665275,5.92353148300337e-34,1.48088287075084e-33,65.0220482230258,32.829479290296,AT-aux-trans-Transport,64,0.703657328,2.94815e-5,iSensor_mean_normed,Transport,significant,trans,AT-aux-trans-Transport,0.724607706,5.78e-8,AT-aux-trans-Transport,65,-0.027869659,0.10227910900000001,-0.272486331,0.794382907,0.818825458,-0.027869659,-0.228336713,0.172597394,conditionAuxin,n.s.,AT-aux-trans-Transport,63,-0.110560102645676,0.794382907078974,0.818825458066019,AT-aux-trans-Transport
majortrend,57,-4.8818409005313503e-05,1.00000007564441,-0.782673010941339,0.435456279226395,0.458375030764627,-9.39071742029484,0.338779047882921,majortrend,41,0.181270038,0.355934779,iSensor_mean_normed,majortrend,not significant,other,majortrend,0.806304948,1.16e-10,majortrend,40,-0.049465634,0.011423349,-4.33022161,0.004927492,0.008462771,-0.049465634,-0.071855399,-0.02707587,conditionAuxin,Down,majortrend,64,-0.870392888994867,0.0049274918164572,0.00846277139545277,majortrend
random1,47,-0.00250225886816905,1.02179980851647,-8.06262566251163,8.63395007177106e-13,1.10220639214099e-12,16.202414383857,11.9577370746538,random1,28,0.11535366,0.55886929,iSensor_mean_normed,random1,not significant,other,random1,0.213089304,0.175442569,random1,67,0.002875702,0.015864758,0.18126356,0.862128931,0.870282092,0.002875702,-0.028219223,0.033970628,conditionAuxin,n.s.,random1,65,0.0737987502492877,0.86212893097429,0.870282091842283,random1
random2,46,0.00291265736525561,0.994471629663902,8.87000500809182,1.24806964282877e-14,1.62791692542884e-14,20.419871973278,13.7883677614544,random2,16,0,1,iSensor_mean_normed,random2,not significant,other,random2,0.775083072,1.69e-9,random2,51,-0.047583277,0.018253348,-2.606824701,0.040291638,0.052932152,-0.047583277,-0.083359839,-0.011806716,conditionAuxin,n.s.,random2,66,-0.72875677046844,0.0402916383387321,0.0529321523273539,random2
random3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,-0.064830072,0.011529474,-5.622985983,0.001352008,0.003176973,-0.064830072,-0.087427841,-0.042232302,conditionAuxin,Down,random3,67,-0.916788833909289,0.00135200835327878,0.0031769733818708,random3
