"iSensor","term","estimate","std.error","statistic","p.value","p_adj","effect","lo","hi","class"
"ATH-aux-reg-DR5-TGTCNN-down","conditionAuxin",-0.0890726028569591,0.00779791894015854,-11.4226120507926,2.70039621178633e-05,0.000775406710525012,-0.0890726028569591,-0.10435652397967,-0.0737886817342484,"Down"
"ATH-aux-reg-DR5-ARF5-1-down","conditionAuxin",-0.0604134738052983,0.00555954380202057,-10.8666243052787,3.59913448024907e-05,0.000775406710525012,-0.0604134738052983,-0.0713101796572586,-0.049516767953338,"Down"
"ATH-aux-reg-DR5-ARF6-down","conditionAuxin",-0.05245614054084,0.00524527784721875,-10.0006409705549,5.78986619456332e-05,0.000775406710525012,-0.05245614054084,-0.0627368851213888,-0.0421753959602912,"Down"
"ATH-aux-cis-IR8-ARF5-2","conditionAuxin",-0.0260508045375252,0.00257572159398978,-10.1139830478234,5.42929240296695e-05,0.000775406710525012,-0.0260508045375252,-0.0310992188617452,-0.0210023902133053,"Down"
"ATH-aux-cis-IR8-ARF5-1","conditionAuxin",-0.0165455486252192,0.0016722502782865,-9.89418201333646,6.15402151210327e-05,0.000775406710525012,-0.0165455486252192,-0.0198231591706607,-0.0132679380797776,"Down"
"ATH-aux-reg-IR8-ARF5-1-up","conditionAuxin",0.0397132233306021,0.00419359385669223,9.46997365212818,7.89444801913903e-05,0.000788861513160668,0.0397132233306021,0.0314937793714853,0.0479326672897188,"Up"
"ATH-aux-cis-DR5-TGTCNN","conditionAuxin",-0.0272363420882251,0.00292968775301521,-9.29667062989689,8.76512792400742e-05,0.000788861513160668,-0.0272363420882251,-0.0329785300841349,-0.0214941540923153,"Down"
"ATH-aux-cis-DR5-TGTCGG","conditionAuxin",-0.0281037285301433,0.00315613178217944,-8.90448513234658,0.00011179316778942,0.000880371196341682,-0.0281037285301433,-0.034289746823215,-0.0219177102370716,"Down"
"ATH-aux-reg-DR5-ARF2-down","conditionAuxin",-0.0745253654247503,0.00897085752632332,-8.30749626845253,0.000164947345215019,0.000893955230921168,-0.0745253654247503,-0.092108246176344,-0.0569424846731566,"Down"
"ATH-aux-trans-Synthesis","conditionAuxin",-0.0697970864578418,0.00834269182090643,-8.36625491582144,0.000158584017033507,0.000893955230921168,-0.0697970864578418,-0.0861487624268184,-0.0534454104888652,"Down"
"ATH-aux-reg-DR5-ARF8-down","conditionAuxin",-0.0327884295394094,0.00396941874716839,-8.26025965710953,0.000170277186842127,0.000893955230921168,-0.0327884295394094,-0.0405684902838594,-0.0250083687949593,"Down"
"ATH-aux-reg-IR8-ARF6-down","conditionAuxin",-0.0224030334168986,0.00265563418405109,-8.43603895123971,0.00015139150511172,0.000893955230921168,-0.0224030334168986,-0.0276080764176388,-0.0171979904161585,"Down"
"ATH-aux-reg-DR5-ARF3-up","conditionAuxin",0.110884500118127,0.0137877550681276,8.04224469975194,0.000197602084967741,0.000896987371303164,0.110884500118127,0.0838605001845968,0.137908500051657,"Up"
"ATH-aux-cis-DR5-ARF2","conditionAuxin",-0.0150218308087705,0.00187079736328826,-8.02964078502173,0.000199330526956259,0.000896987371303164,-0.0150218308087705,-0.0186885936408155,-0.0113550679767255,"Down"
"ATH-aux-reg-IR8-ARF1-up","conditionAuxin",-0.0232205571388626,0.00316494447191199,-7.33679764208778,0.000327814108878819,0.00137681925729104,-0.0232205571388626,-0.0294238483038101,-0.0170172659739151,"Down"
"ATH-aux-reg-DR5-ARF5-1-up","conditionAuxin",0.0386319465340437,0.00541117651091584,7.13928781589593,0.000380473639785707,0.00149811495665622,0.0386319465340437,0.0280260405726486,0.0492378524954387,"Up"
"ATH-aux-cis-DR5-ARF8","conditionAuxin",-0.0106454656167504,0.00158977651948103,-6.69620257080256,0.000538189554880979,0.00199446717397069,-0.0106454656167504,-0.0137614275949333,-0.00752950363856761,"Down"
"ATH-aux-cis-DR5-ARF5-1","conditionAuxin",-0.0121649997143421,0.0018534500481698,-6.56343543024235,0.000599261776078636,0.00209741621627523,-0.0121649997143421,-0.0157977618087549,-0.00853223761992927,"Down"
"ATH-aux-cis-DR5-ARF6","conditionAuxin",-0.0138659696731908,0.00219775670119151,-6.30914680668401,0.000739838710883989,0.00245314940977323,-0.0138659696731908,-0.0181735728075261,-0.00955836653885543,"Down"
"ATH-aux-reg-IR8-ARF8-down","conditionAuxin",-0.0548831122401287,0.00904696412613834,-6.06646732261946,0.00091028831366537,0.00260673471640538,-0.0548831122401287,-0.0726151619273599,-0.0371510625528976,"Down"
"ATH-aux-reg-IR8-ARF8-up","conditionAuxin",0.035219289788183,0.00576725231474596,6.10677110452284,0.000879096882637749,0.00260673471640538,0.035219289788183,0.023915475251281,0.0465231043250851,"Up"
"ATH-aux-cis-DR5-ARF5-2","conditionAuxin",-0.0111927069667968,0.00182544820924625,-6.13148426238749,0.0008605764702789,0.00260673471640538,-0.0111927069667968,-0.0147705854569194,-0.00761482847667415,"Down"
"ATH-aux-cis-IR8-ARF3","conditionAuxin",-0.0188608861365624,0.00321544350885982,-5.86571839455215,0.00108580305711766,0.00297415619993098,-0.0188608861365624,-0.0251631554139276,-0.0125586168591971,"Down"
"ATH-aux-trans-ARF","conditionAuxin",0.0472276220508714,0.00835023955274183,5.6558403806947,0.001311946491086,0.00335733431737929,0.0472276220508714,0.0308611525274974,0.0635940915742454,"Up"
"ATH-aux-cis-IR8-ARF1","conditionAuxin",-0.0246321202721142,0.00436815011775427,-5.63902787406444,0.00133227552276956,0.00335733431737929,-0.0246321202721142,-0.0331936945029125,-0.0160705460413158,"Down"
"random3","conditionAuxin",-0.0102538488682755,0.00183567090566388,-5.58588624825817,0.00139893412510188,0.00338972499543916,-0.0102538488682755,-0.0138517638433767,-0.00665593389317429,"Down"
