id,rho.rho,p_value,iSensor,assay,clean_panel,significance,reg_class
51,0.27245436,0.160717249,AT-aux-cis-DR5-ARF3,iSensor_mean_normed,DR5-ARF3,not significant,cis
52,0.274651572,0.157235661,AT-aux-cistrans-DR5-ARF3-down,iSensor_mean_normed,DR5-ARF3-down,not significant,reg
53,0.290581363,0.133590112,AT-aux-cis-DR5-ARF6,iSensor_mean_normed,DR5-ARF6,not significant,cis
54,0.363638681,0.05714891,AT-aux-cistrans-DR5-TGTCNN-up,iSensor_mean_normed,DR5-TGTCNN-up,not significant,reg
55,0.386434762,0.042227159,AT-aux-cistrans-DR5-ARF5-2-down,iSensor_mean_normed,DR5-ARF5-2-down,not significant,reg
56,0.405660372,0.032214356,AT-aux-cistrans-DR5-ARF2-down,iSensor_mean_normed,DR5-ARF2-down,not significant,reg
57,0.460041383,0.013770218,AT-aux-cis-DR5-TGTCGG,iSensor_mean_normed,DR5-TGTCGG,not significant,cis
58,0.481464206,0.009486181,AT-aux-cistrans-DR5-ARF8-down,iSensor_mean_normed,DR5-ARF8-down,not significant,reg
59,0.513049137,0.005239864,AT-aux-trans-ARF,iSensor_mean_normed,ARF,significant,trans
60,0.535845217,0.003293933,AT-aux-cistrans-DR5-ARF1-up,iSensor_mean_normed,DR5-ARF1-up,significant,reg
61,0.567979451,0.001616978,AT-aux-trans-A-ARF,iSensor_mean_normed,A-ARF,significant,trans
62,0.661360986,0.00012714,AT-aux-trans-Synthesis,iSensor_mean_normed,Synthesis,significant,trans
63,0.666579366,0.000107488,AT-aux-trans-IAA,iSensor_mean_normed,IAA,significant,trans
64,0.703657328,2.94815E-05,AT-aux-trans-Transport,iSensor_mean_normed,Transport,significant,trans
65,0.810771441,1.68527E-07,AT-aux-trans-EffluxInflux,iSensor_mean_normed,PAT,significant,trans
