id,iSensor,term,estimate,std.error,statistic,p.value,p_adj,effect,lo,hi,class
37,AT-aux-cistrans-IR8-ARF5-2-up,conditionAuxin,0.19312692,0.042268288,4.569073575,0.003814207,0.006906807,0.19312692,0.110281074,0.275972765,Up
38,AT-aux-cistrans-DR5-ARF3-down,conditionAuxin,-0.425679879,0.097282468,-4.375710133,0.004689931,0.00826909,-0.425679879,-0.616353516,-0.235006243,Down
39,AT-aux-cistrans-IR8-ARF3-down,conditionAuxin,-0.154302695,0.035823679,-4.307282209,0.005052401,0.008462771,-0.154302695,-0.224517106,-0.084088284,Down
40,majortrend,conditionAuxin,-0.049465634,0.011423349,-4.33022161,0.004927492,0.008462771,-0.049465634,-0.071855399,-0.02707587,Down
41,AT-aux-cis-IR8-ARF5syn,conditionAuxin,-0.04761832,0.011309037,-4.21064322,0.005619145,0.009182506,-0.04761832,-0.069784032,-0.025452607,Down
42,AT-aux-cis-IR8-ARF2,conditionAuxin,-0.060587566,0.014708912,-4.11910591,0.006222477,0.009926333,-0.060587566,-0.089417033,-0.031758098,Down
43,AT-aux-trans-A-ARF,conditionAuxin,0.246740588,0.060778794,4.059649294,0.006653138,0.010366518,0.246740588,0.127614152,0.365867024,Up
44,AT-aux-cistrans-IR8-ARF5-2-down,conditionAuxin,-0.217304278,0.057534425,-3.776943593,0.009213328,0.014029386,-0.217304278,-0.330071751,-0.104536805,Down
45,AT-aux-cistrans-DR5-ARF1-up,conditionAuxin,0.184218206,0.049095965,3.752206614,0.009485096,0.014122254,0.184218206,0.087990114,0.280446298,Up
46,AT-aux-cistrans-IR8-ARF1-down,conditionAuxin,-0.158528485,0.043679171,-3.629384023,0.010973241,0.015982764,-0.158528485,-0.24413966,-0.07291731,Down
47,AT-aux-trans-IAA,conditionAuxin,-0.411198269,0.118449979,-3.471492956,0.013279582,0.018536083,-0.411198269,-0.643360229,-0.17903631,Down
48,AT-aux-cistrans-DR5-ARF5-2-up,conditionAuxin,0.212402515,0.060983695,3.482939428,0.013095501,0.018536083,0.212402515,0.092874473,0.331930557,Up
49,AT-aux-cis-DR5-ARF1,conditionAuxin,-0.036443598,0.011109608,-3.280367604,0.016814854,0.02299174,-0.036443598,-0.05821843,-0.014668766,Down
50,AT-aux-cistrans-IR8-ARF2-down,conditionAuxin,0.134316639,0.048576575,2.765049581,0.032635343,0.04373136,0.134316639,0.039106552,0.229526727,Up
51,random2,conditionAuxin,-0.047583277,0.018253348,-2.606824701,0.040291638,0.052932152,-0.047583277,-0.083359839,-0.011806716,n.s.
52,AT-aux-cis-DR5-ARF3,conditionAuxin,-0.029901037,0.012030358,-2.485465137,0.047452731,0.061141019,-0.029901037,-0.053480539,-0.006321534,n.s.
53,AT-aux-cistrans-IR8-TGTCNN-up,conditionAuxin,-0.139030248,0.056627598,-2.455167667,0.049442659,0.062055142,-0.139030248,-0.25002034,-0.028040156,n.s.
54,AT-aux-cistrans-DR5-ARF5syn-up,conditionAuxin,0.115298842,0.047124283,2.446697009,0.050014592,0.062055142,0.115298842,0.022935248,0.207662437,n.s.
55,AT-aux-cistrans-DR5-ARF2-up,conditionAuxin,0.095751172,0.040744568,2.350035251,0.057055693,0.069504208,0.095751172,0.015891818,0.175610526,n.s.
56,AT-aux-cistrans-IR8-ARF6-up,conditionAuxin,0.12521969,0.056102702,2.231972547,0.067083633,0.078852691,0.12521969,0.015258395,0.235180986,n.s.
57,AT-aux-cistrans-IR8-ARF8-up,conditionAuxin,0.12521969,0.056102702,2.231972547,0.067083633,0.078852691,0.12521969,0.015258395,0.235180986,n.s.
58,AT-aux-cistrans-DR5-ARF5-2-down,conditionAuxin,-0.054814608,0.028900831,-1.896644692,0.106664894,0.123216343,-0.054814608,-0.111460237,0.001831021,n.s.
59,AT-aux-trans-ConjugationDeconjugation,conditionAuxin,0.112913601,0.079467471,1.42087824,0.205175035,0.232995379,0.112913601,-0.042842643,0.268669844,n.s.
60,AT-aux-cistrans-IR8-ARF2-up,conditionAuxin,0.064355118,0.057536347,1.118512407,0.306119781,0.341833756,0.064355118,-0.048416122,0.177126358,n.s.
61,AT-aux-cistrans-DR5-ARF6-up,conditionAuxin,-0.049650565,0.045479783,-1.091706284,0.316848522,0.342400822,-0.049650565,-0.13879094,0.03948981,n.s.
62,AT-aux-cistrans-DR5-ARF8-up,conditionAuxin,-0.049650565,0.045479783,-1.091706284,0.316848522,0.342400822,-0.049650565,-0.13879094,0.03948981,n.s.
63,AT-aux-cistrans-DR5-TGTCNN-up,conditionAuxin,0.022052312,0.033024439,0.667757336,0.529121652,0.562716677,0.022052312,-0.042675589,0.086780213,n.s.
64,AT-aux-cistrans-IR8-TGTCNN-down,conditionAuxin,0.009147872,0.015500458,0.590167852,0.576613813,0.603642585,0.009147872,-0.021233026,0.03952877,n.s.
65,AT-aux-trans-Transport,conditionAuxin,-0.027869659,0.102279109,-0.272486331,0.794382907,0.818825458,-0.027869659,-0.228336713,0.172597394,n.s.
66,AT-aux-cistrans-IR8-ARF3-up,conditionAuxin,0.014343052,0.084163503,0.170418901,0.870282092,0.870282092,0.014343052,-0.150617414,0.179303517,n.s.
67,random1,conditionAuxin,0.002875702,0.015864758,0.18126356,0.862128931,0.870282092,0.002875702,-0.028219223,0.033970628,n.s.
