"SensorKey","Method","AUROC","DisplayLabel","Dataset"
"ATH_aux_reg_IR8_ARF5_2_up","iSensors",0.632672488760016,"IR8.ARF5-2(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF6_down","iSensors",0.40477851234876,"IR8.ARF6(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF6_up","iSensors",0.580448272448548,"IR8.ARF6(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF8_down","iSensors",0.320635089123692,"IR8.ARF8(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF8_up","iSensors",0.693519555978497,"IR8.ARF8(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_TGTCNN_down","iSensors",0.481539628718595,"IR8.TGTCNN(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_TGTCNN_up","iSensors",0.464388531231525,"IR8.TGTCNN(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_trans_A_ARF","iSensors",0.575517581861088,"A-ARF","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_trans_ARF","iSensors",0.707272686904745,"ARF","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_trans_ConjugationDeconjugation","iSensors",0.554478346379123,"Conjugation","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_trans_IAA","iSensors",0.394853011618377,"IAA","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_trans_PolarAuxinTransport","iSensors",0.407759932671058,"PAT","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_trans_Receptors","iSensors",0.400894542137057,"Receptors","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_trans_Synthesis","iSensors",0.333832302077754,"Synthesis","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_trans_Transport","iSensors",0.487885322797564,"Transport","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_DR5_ARF1","UCell",0.523020189602418,"cis(DR5).ARF1","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_DR5_ARF2","UCell",0.333278344704274,"cis(DR5).ARF2","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_DR5_ARF3","UCell",0.464766619758315,"cis(DR5).ARF3","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_DR5_ARF5_1","UCell",0.341495005975547,"cis(DR5).ARF5-1","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_DR5_ARF5_2","UCell",0.424103640622441,"cis(DR5).ARF5-2","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_DR5_ARF6","UCell",0.345890407183618,"cis(DR5).ARF6","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_DR5_ARF8","UCell",0.392783596057911,"cis(DR5).ARF8","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_DR5_TGTCGG","UCell",0.434955121726394,"cis(DR5).TGTCGG","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_DR5_TGTCNN","UCell",0.229799516380495,"cis(DR5).TGTCNN","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_IR8_ARF1","UCell",0.36875355790645,"cis(IR8).ARF1","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_IR8_ARF2","UCell",0.511930274553733,"cis(IR8).ARF2","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_IR8_ARF3","UCell",0.409472516849521,"cis(IR8).ARF3","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_IR8_ARF5_1","UCell",0.313079028740965,"cis(IR8).ARF5-1","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_IR8_ARF5_2","UCell",0.344134145894401,"cis(IR8).ARF5-2","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_IR8_ARF6","UCell",0.442000140331484,"cis(IR8).ARF6","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_IR8_ARF8","UCell",0.436581855373108,"cis(IR8).ARF8","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_IR8_TGTCNN","UCell",0.362747540575182,"cis(IR8).TGTCNN","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF1_down","UCell",0.354084820131967,"DR5.ARF1(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF1_up","UCell",0.709478063095577,"DR5.ARF1(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF2_down","UCell",0.151350513090374,"DR5.ARF2(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF2_up","UCell",0.581061444254464,"DR5.ARF2(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF3_down","UCell",0.241741051684873,"DR5.ARF3(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF3_up","UCell",0.794505742929643,"DR5.ARF3(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF5_1_down","UCell",0.217043268909752,"DR5.ARF5-1(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF5_1_up","UCell",0.740415621686896,"DR5.ARF5-1(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF5_2_down","UCell",0.485330452360454,"DR5.ARF5-2(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF5_2_up","UCell",0.66468461499774,"DR5.ARF5-2(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF6_down","UCell",0.20248250911456,"DR5.ARF6(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF6_up","UCell",0.550733327254752,"DR5.ARF6(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF8_down","UCell",0.298471062273846,"DR5.ARF8(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF8_up","UCell",0.630474805078534,"DR5.ARF8(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_TGTCNN_down","UCell",0.211724104182628,"DR5.TGTCNN(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_TGTCNN_up","UCell",0.598947995919518,"DR5.TGTCNN(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF1_down","UCell",0.423590089471861,"IR8.ARF1(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF1_up","UCell",0.452619593885984,"IR8.ARF1(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF2_down","UCell",0.531595531649048,"IR8.ARF2(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF2_up","UCell",0.538172189574104,"IR8.ARF2(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF3_down","UCell",0.507554404389985,"IR8.ARF3(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF3_up","UCell",0.497878564509872,"IR8.ARF3(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF5_1_down","UCell",0.41295088729735,"IR8.ARF5-1(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF5_1_up","UCell",0.684614016231669,"IR8.ARF5-1(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF5_2_down","UCell",0.467244876960416,"IR8.ARF5-2(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF5_2_up","UCell",0.562936115358591,"IR8.ARF5-2(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF6_down","UCell",0.428573600184017,"IR8.ARF6(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF6_up","UCell",0.584615506866887,"IR8.ARF6(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF8_down","UCell",0.402867571667425,"IR8.ARF8(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF8_up","UCell",0.703036345612657,"IR8.ARF8(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_TGTCNN_down","UCell",0.524496873384168,"IR8.TGTCNN(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_TGTCNN_up","UCell",0.430747016923685,"IR8.TGTCNN(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_trans_A_ARF","UCell",0.5582746094132,"A-ARF","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_trans_ARF","UCell",0.626795010310622,"ARF","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_trans_ConjugationDeconjugation","UCell",0.598733724963771,"Conjugation","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_trans_IAA","UCell",0.424528014750742,"IAA","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_trans_PolarAuxinTransport","UCell",0.438817491507223,"PAT","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_trans_Receptors","UCell",0.498695933517147,"Receptors","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_trans_Synthesis","UCell",0.412770932862728,"Synthesis","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_trans_Transport","UCell",0.541065283836818,"Transport","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_DR5_ARF1","AUCell",0.552261076050642,"cis(DR5).ARF1","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_DR5_ARF2","AUCell",0.299840203227684,"cis(DR5).ARF2","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_DR5_ARF3","AUCell",0.460234946061391,"cis(DR5).ARF3","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_DR5_ARF5_1","AUCell",0.347175534911523,"cis(DR5).ARF5-1","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_DR5_ARF5_2","AUCell",0.424785189214794,"cis(DR5).ARF5-2","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_DR5_ARF6","AUCell",0.391266849339347,"cis(DR5).ARF6","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_DR5_ARF8","AUCell",0.41567245213961,"cis(DR5).ARF8","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_DR5_TGTCGG","AUCell",0.416265681924902,"cis(DR5).TGTCGG","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_DR5_TGTCNN","AUCell",0.23657687095583,"cis(DR5).TGTCNN","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_IR8_ARF1","AUCell",0.362330515670144,"cis(IR8).ARF1","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_IR8_ARF2","AUCell",0.515033503416601,"cis(IR8).ARF2","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_IR8_ARF3","AUCell",0.426971484017726,"cis(IR8).ARF3","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_IR8_ARF5_1","AUCell",0.268497692764542,"cis(IR8).ARF5-1","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_IR8_ARF5_2","AUCell",0.369151426480851,"cis(IR8).ARF5-2","Exogenous auxin
(Martin-Arevalillo 2025)"
