"gene","sample","normalized_expression","orig.ident","nCount_RNA","nFeature_RNA","Batch","Type","Tissue","Duration","Author","condition","group","dataset_dir","concentration_uM","auxin_compound","label","Concentration"
"PIN1","treat_2_auxin_root_2h_derybel",0.451728762785177,"treat",144798.429879037,22590,"auxin_root_2h_derybel","treat","root","2h","derybel","Auxin","treat","auxin_root_2h_derybel",10,"NAA","Auxin (NAA 10uM)",10
"PIN1","treat_3_auxin_root_2h_derybel",0.463622272929211,"treat",144927.167174773,22590,"auxin_root_2h_derybel","treat","root","2h","derybel","Auxin","treat","auxin_root_2h_derybel",10,"NAA","Auxin (NAA 10uM)",10
"PIN2","control_1_auxin_root_2h_bargmann",0.457254332645004,"control",144895.456982637,22590,"auxin_root_2h_bargmann","control","root","2h","bargmann","Control","control","auxin_root_2h_bargmann",5,"IAA","Auxin (IAA 5uM)",0
"PIN2","control_1_auxin_root_2h_lewis",0.451046468135929,"control",144905.159803495,22590,"auxin_root_2h_lewis","control","root","2h","lewis","Control","control","auxin_root_2h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"PIN2","control_1_auxin_root_2h_vanneste",0.461583315428886,"control",144966.939261077,22590,"auxin_root_2h_vanneste","control","root","2h","vanneste","Control","control","auxin_root_2h_vanneste",10,"IAA","Auxin (IAA 10uM)",0
"PIN2","control_1_auxin_seedling_2h_okushima",0.450758087730323,"control",144850.414454846,22590,"auxin_seedling_2h_okushima","control","seedling","2h","okushima","Control","control","auxin_seedling_2h_okushima",5,"IAA","Auxin (IAA 5uM)",0
"PIN2","control_2_auxin_root_2h_bargmann",0.442696011493018,"control",144906.492295472,22590,"auxin_root_2h_bargmann","control","root","2h","bargmann","Control","control","auxin_root_2h_bargmann",5,"IAA","Auxin (IAA 5uM)",0
"PIN2","control_2_auxin_root_2h_lewis",0.443397837220445,"control",144845.655514571,22590,"auxin_root_2h_lewis","control","root","2h","lewis","Control","control","auxin_root_2h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"PIN2","control_2_auxin_root_2h_vanneste",0.461213530426339,"control",144922.474082519,22590,"auxin_root_2h_vanneste","control","root","2h","vanneste","Control","control","auxin_root_2h_vanneste",10,"IAA","Auxin (IAA 10uM)",0
"PIN2","control_2_auxin_seedling_2h_okushima",0.459201576245776,"control",144852.755342067,22590,"auxin_seedling_2h_okushima","control","seedling","2h","okushima","Control","control","auxin_seedling_2h_okushima",5,"IAA","Auxin (IAA 5uM)",0
"PIN2","control_3_auxin_root_2h_bargmann",0.437668174185354,"control",144895.237265024,22590,"auxin_root_2h_bargmann","control","root","2h","bargmann","Control","control","auxin_root_2h_bargmann",5,"IAA","Auxin (IAA 5uM)",0
"PIN2","control_3_auxin_root_2h_lewis",0.464019320516768,"control",144718.580595369,22590,"auxin_root_2h_lewis","control","root","2h","lewis","Control","control","auxin_root_2h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"PIN2","control_3_auxin_seedling_2h_okushima",0.44261197868124,"control",145027.418420535,22590,"auxin_seedling_2h_okushima","control","seedling","2h","okushima","Control","control","auxin_seedling_2h_okushima",5,"IAA","Auxin (IAA 5uM)",0
"PIN2","control_1_auxin_root_2h_derybel",0.447438023977953,"control",144891.502301021,22590,"auxin_root_2h_derybel","control","root","2h","derybel","Control","control","auxin_root_2h_derybel",10,"NAA","Auxin (NAA 10uM)",0
"PIN2","control_2_auxin_root_2h_derybel",0.450350626009883,"control",144833.260795673,22590,"auxin_root_2h_derybel","control","root","2h","derybel","Control","control","auxin_root_2h_derybel",10,"NAA","Auxin (NAA 10uM)",0
"PIN2","control_3_auxin_root_2h_derybel",0.434793132476129,"control",144891.611277383,22590,"auxin_root_2h_derybel","control","root","2h","derybel","Control","control","auxin_root_2h_derybel",10,"NAA","Auxin (NAA 10uM)",0
"PIN2","treat_1_auxin_root_2h_lewis",0.462101163130834,"treat",144940.700015881,22590,"auxin_root_2h_lewis","treat","root","2h","lewis","Auxin","treat","auxin_root_2h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"PIN2","treat_2_auxin_root_2h_lewis",0.460126729603587,"treat",144960.52331451,22590,"auxin_root_2h_lewis","treat","root","2h","lewis","Auxin","treat","auxin_root_2h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"PIN2","treat_3_auxin_root_2h_lewis",0.463538901675717,"treat",144883.688098146,22590,"auxin_root_2h_lewis","treat","root","2h","lewis","Auxin","treat","auxin_root_2h_lewis",1,"IAA","Auxin (IAA 1uM)",1
