"sample","orig.ident","nCount_RNA","nFeature_RNA","Batch","Type","Tissue","Duration","Author","condition","group","dataset_dir","concentration_uM","auxin_compound","label","Concentration"
"control_1_auxin_root_6h_derybel","control",145006.656817472,22590,"auxin_root_6h_derybel","control","root","6h","derybel","Control","control","auxin_root_6h_derybel",10,"NAA","Auxin (NAA 10uM)",0
"control_2_auxin_root_6h_derybel","control",145073.439178668,22590,"auxin_root_6h_derybel","control","root","6h","derybel","Control","control","auxin_root_6h_derybel",10,"NAA","Auxin (NAA 10uM)",0
"control_3_auxin_root_6h_derybel","control",144948.250796977,22590,"auxin_root_6h_derybel","control","root","6h","derybel","Control","control","auxin_root_6h_derybel",10,"NAA","Auxin (NAA 10uM)",0
"treat_1_auxin_root_6h_derybel","treat",144700.489295898,22590,"auxin_root_6h_derybel","treat","root","6h","derybel","Auxin","treat","auxin_root_6h_derybel",10,"NAA","Auxin (NAA 10uM)",10
"treat_2_auxin_root_6h_derybel","treat",144650.40590281,22590,"auxin_root_6h_derybel","treat","root","6h","derybel","Auxin","treat","auxin_root_6h_derybel",10,"NAA","Auxin (NAA 10uM)",10
"treat_3_auxin_root_6h_derybel","treat",144669.598889119,22590,"auxin_root_6h_derybel","treat","root","6h","derybel","Auxin","treat","auxin_root_6h_derybel",10,"NAA","Auxin (NAA 10uM)",10
"control_1_auxin_root_05h_lewis","control",144993.986007535,22590,"auxin_root_05h_lewis","control","root","05h","lewis","Control","control","auxin_root_05h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"control_2_auxin_root_05h_lewis","control",144834.255957278,22590,"auxin_root_05h_lewis","control","root","05h","lewis","Control","control","auxin_root_05h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"control_3_auxin_root_05h_lewis","control",144934.867380418,22590,"auxin_root_05h_lewis","control","root","05h","lewis","Control","control","auxin_root_05h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"treat_1_auxin_root_05h_lewis","treat",144795.955426744,22590,"auxin_root_05h_lewis","treat","root","05h","lewis","Auxin","treat","auxin_root_05h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"treat_2_auxin_root_05h_lewis","treat",144813.037062305,22590,"auxin_root_05h_lewis","treat","root","05h","lewis","Auxin","treat","auxin_root_05h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"treat_3_auxin_root_05h_lewis","treat",144760.950269369,22590,"auxin_root_05h_lewis","treat","root","05h","lewis","Auxin","treat","auxin_root_05h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"control_1_auxin_root_12h_lewis","control",144937.107269202,22590,"auxin_root_12h_lewis","control","root","12h","lewis","Control","control","auxin_root_12h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"control_2_auxin_root_12h_lewis","control",144747.181135968,22590,"auxin_root_12h_lewis","control","root","12h","lewis","Control","control","auxin_root_12h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"control_3_auxin_root_12h_lewis","control",144896.880393328,22590,"auxin_root_12h_lewis","control","root","12h","lewis","Control","control","auxin_root_12h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"treat_1_auxin_root_12h_lewis","treat",144898.768413632,22590,"auxin_root_12h_lewis","treat","root","12h","lewis","Auxin","treat","auxin_root_12h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"treat_2_auxin_root_12h_lewis","treat",144856.381492436,22590,"auxin_root_12h_lewis","treat","root","12h","lewis","Auxin","treat","auxin_root_12h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"treat_3_auxin_root_12h_lewis","treat",144831.695854087,22590,"auxin_root_12h_lewis","treat","root","12h","lewis","Auxin","treat","auxin_root_12h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"control_1_auxin_root_1h_lewis","control",144865.138523716,22590,"auxin_root_1h_lewis","control","root","1h","lewis","Control","control","auxin_root_1h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"control_2_auxin_root_1h_lewis","control",144866.692878786,22590,"auxin_root_1h_lewis","control","root","1h","lewis","Control","control","auxin_root_1h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"control_3_auxin_root_1h_lewis","control",144866.668191885,22590,"auxin_root_1h_lewis","control","root","1h","lewis","Control","control","auxin_root_1h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"treat_1_auxin_root_1h_lewis","treat",144901.609678118,22590,"auxin_root_1h_lewis","treat","root","1h","lewis","Auxin","treat","auxin_root_1h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"treat_2_auxin_root_1h_lewis","treat",144897.780935278,22590,"auxin_root_1h_lewis","treat","root","1h","lewis","Auxin","treat","auxin_root_1h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"treat_3_auxin_root_1h_lewis","treat",144836.604840951,22590,"auxin_root_1h_lewis","treat","root","1h","lewis","Auxin","treat","auxin_root_1h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"control_1_auxin_root_24h_lewis","control",144932.489080945,22590,"auxin_root_24h_lewis","control","root","24h","lewis","Control","control","auxin_root_24h_lewis",1,"IAA","Auxin (IAA 1uM)",0
