"gene","control_1_auxin_root_2h_bargmann","control_2_auxin_root_2h_bargmann","control_3_auxin_root_2h_bargmann","treat_1_auxin_root_2h_bargmann","treat_2_auxin_root_2h_bargmann","treat_3_auxin_root_2h_bargmann","control_1_auxin_seedling_05h_delker","control_2_auxin_seedling_05h_delker","control_3_auxin_seedling_05h_delker","treat_1_auxin_seedling_05h_delker","treat_2_auxin_seedling_05h_delker","treat_3_auxin_seedling_05h_delker","control_1_auxin_seedling_1h_delker","control_2_auxin_seedling_1h_delker","control_3_auxin_seedling_1h_delker","treat_1_auxin_seedling_1h_delker","treat_2_auxin_seedling_1h_delker","treat_3_auxin_seedling_1h_delker","control_1_auxin_seedling_3h_delker","control_2_auxin_seedling_3h_delker","control_3_auxin_seedling_3h_delker","treat_1_auxin_seedling_3h_delker","treat_2_auxin_seedling_3h_delker","treat_3_auxin_seedling_3h_delker","control_1_auxin_root_2h_derybel","control_2_auxin_root_2h_derybel","control_3_auxin_root_2h_derybel","treat_1_auxin_root_2h_derybel","treat_2_auxin_root_2h_derybel","treat_3_auxin_root_2h_derybel","control_1_auxin_root_6h_derybel","control_2_auxin_root_6h_derybel","control_3_auxin_root_6h_derybel","treat_1_auxin_root_6h_derybel","treat_2_auxin_root_6h_derybel","treat_3_auxin_root_6h_derybel","control_1_auxin_root_05h_lewis","control_2_auxin_root_05h_lewis","control_3_auxin_root_05h_lewis","treat_1_auxin_root_05h_lewis","treat_2_auxin_root_05h_lewis","treat_3_auxin_root_05h_lewis","control_1_auxin_root_12h_lewis","control_2_auxin_root_12h_lewis","control_3_auxin_root_12h_lewis","treat_1_auxin_root_12h_lewis","treat_2_auxin_root_12h_lewis","treat_3_auxin_root_12h_lewis","control_1_auxin_root_1h_lewis","control_2_auxin_root_1h_lewis","control_3_auxin_root_1h_lewis","treat_1_auxin_root_1h_lewis","treat_2_auxin_root_1h_lewis","treat_3_auxin_root_1h_lewis","control_1_auxin_root_24h_lewis","control_2_auxin_root_24h_lewis","control_3_auxin_root_24h_lewis","treat_1_auxin_root_24h_lewis","treat_2_auxin_root_24h_lewis","treat_3_auxin_root_24h_lewis","control_1_auxin_root_2h_lewis","control_2_auxin_root_2h_lewis","control_3_auxin_root_2h_lewis","treat_1_auxin_root_2h_lewis","treat_2_auxin_root_2h_lewis","treat_3_auxin_root_2h_lewis","control_1_auxin_root_4h_lewis","control_2_auxin_root_4h_lewis","control_3_auxin_root_4h_lewis","treat_1_auxin_root_4h_lewis","treat_2_auxin_root_4h_lewis","treat_3_auxin_root_4h_lewis","control_1_auxin_root_8h_lewis","control_2_auxin_root_8h_lewis","control_3_auxin_root_8h_lewis","treat_1_auxin_root_8h_lewis","treat_2_auxin_root_8h_lewis","treat_3_auxin_root_8h_lewis","control_1_auxin_seedling_2h_okushima","control_2_auxin_seedling_2h_okushima","control_3_auxin_seedling_2h_okushima","treat_1_auxin_seedling_2h_okushima","treat_2_auxin_seedling_2h_okushima","treat_3_auxin_seedling_2h_okushima","control_1_auxin_leaves_72h_romero-puertas","control_2_auxin_leaves_72h_romero-puertas","control_3_auxin_leaves_72h_romero-puertas","treat_1_auxin_leaves_72h_romero-puertas","treat_2_auxin_leaves_72h_romero-puertas","treat_3_auxin_leaves_72h_romero-puertas","control_1_auxin_seedling_3h_shimada","control_2_auxin_seedling_3h_shimada","control_3_auxin_seedling_3h_shimada","treat_1_auxin_seedling_3h_shimada","treat_2_auxin_seedling_3h_shimada","treat_3_auxin_seedling_3h_shimada","control_1_auxin_root_4h_stepanova","control_2_auxin_root_4h_stepanova","treat_1_auxin_root_4h_stepanova","treat_2_auxin_root_4h_stepanova","control_1_auxin_root_2h_vanneste","control_2_auxin_root_2h_vanneste","treat_1_auxin_root_2h_vanneste","treat_2_auxin_root_2h_vanneste","control_1_auxin_root_6h_vanneste","control_2_auxin_root_6h_vanneste","treat_1_auxin_root_6h_vanneste","treat_2_auxin_root_6h_vanneste","control_1_auxin_root-apex_6h_xuan","control_2_auxin_root-apex_6h_xuan","control_3_auxin_root-apex_6h_xuan","treat_1_auxin_root-apex_6h_xuan","treat_2_auxin_root-apex_6h_xuan","treat_3_auxin_root-apex_6h_xuan"
"PIN1",0.389750687205633,0.382612842650347,0.364089470119382,0.456763731807935,0.447228320697564,0.461525689624656,0.390468180932677,0.38970711078658,0.372869492324343,0.448044101871312,0.453279977849155,0.450885670106157,0.383335635425845,0.380899429542726,0.372654492676715,0.446115309231628,0.45827878422122,0.46369647798945,0.406946991582016,0.406579564177626,0.389259364518556,0.437804264183471,0.448090402933976,0.41815831197883,0.377307591596959,0.37747997046799,0.379751183145761,0.463737661624221,0.451728762785177,0.463622272929211,0.381314541702334,0.381547935580698,0.383426319853953,0.453661353363079,0.458506229380451,0.463033784484013,0.388319666541345,0.38969849623474,0.383576701003513,0.441038022896868,0.455877505728024,0.448394221815526,0.420629635922975,0.394802678339931,0.413828442640312,0.435966645457736,0.426593138482673,0.416712015116095,0.388525736013109,0.392773542147031,0.372725943169641,0.458676842477233,0.458208871470573,0.43682982453091,0.404490710451836,0.40493716648196,0.404237560756235,0.438812706178535,0.430876423683063,0.423645942115716,0.38493696506617,0.373364264945066,0.39515330543634,0.463208912280347,0.473923887128126,0.425138854184168,0.40253901877696,0.382304662371914,0.376863288179435,0.44467485091235,0.446295910867509,0.458693766736069,0.413519904489353,0.391902603985047,0.399676333384904,0.435601049310663,0.454084577641168,0.413805869150383,0.368490978006962,0.367111627945324,0.406242026517164,0.446776083241832,0.44681787118072,0.468210101024851,0.416360743187859,0.394636400861702,0.38860765493535,0.429695622171352,0.444505686568699,0.427535010661554,0.402558851673257,0.393393307346073,0.39073368611849,0.439803396322009,0.426882542428673,0.45046814894128,0.394295404728948,0.396958894258315,0.444887597289675,0.437541929778756,0.374260263602517,0.37517524175829,0.461469334333532,0.465873552413908,0.378392208690923,0.378755841375565,0.462136799436863,0.461936016373192,0.406147714098271,0.398714551039767,0.396959528001889,0.441593511890812,0.440024848024418,0.424806845422545
"PIN2",0.457254332645004,0.442696011493018,0.437668174185354,0.469602783173951,0.457291961002797,0.46745145928635,0.465633019009928,0.464388567438397,0.445659561357599,0.441280261588783,0.45787767913888,0.457065210988919,0.452255922966027,0.454860364524361,0.435908781235533,0.457764102897783,0.470618580290073,0.461236312959429,0.454142913432383,0.459347057035751,0.44328801125419,0.466084208070316,0.468069403710439,0.440418885840285,0.447438023977953,0.450350626009883,0.434793132476129,0.467229311230666,0.453593693647373,0.463335868761679,0.444750936713355,0.450610255849423,0.436478496432311,0.464077467800372,0.453449392835679,0.460329991084511,0.453028863393843,0.447192682049107,0.455116172573118,0.461584419628792,0.453014016073138,0.470733946453255,0.462480610783363,0.459268762824103,0.470899953935892,0.448057065194161,0.454284556375722,0.44648010096734,0.447415615967705,0.44942024585513,0.456482120838911,0.45581961887484,0.46303124762062,0.474724160123654,0.461887786818257,0.449090528822936,0.47328777074623,0.456713236811521,0.451093577807975,0.451980926455804,0.451046468135929,0.443397837220445,0.464019320516768,0.462101163130834,0.460126729603587,0.463538901675717,0.455226824995874,0.453296198826375,0.464733775100481,0.459076970629664,0.448508742143865,0.462990371385591,0.464343112858911,0.469321701676426,0.44497191847093,0.458307855729215,0.45521651857082,0.450373748402684,0.450758087730323,0.459201576245776,0.44261197868124,0.474856480960235,0.461286447662757,0.44865086899323,0.464256500579649,0.468671033253087,0.449316763688597,0.448341999260875,0.448970542510726,0.445435008943796,0.458151909248367,0.461787486861879,0.458432344754491,0.461707918084738,0.4524930152458,0.439178923608304,0.454074044279207,0.450539181550996,0.45810118041067,0.464079892929055,0.461583315428886,0.461213530426339,0.451061869058849,0.444826630808637,0.453180109299078,0.450910205276053,0.458415959693413,0.456152134300984,0.446825295403984,0.449070935905339,0.451404920213937,0.469340852450644,0.467292268710735,0.457469617055215
"PIN3",0.43883816575612,0.428984627687891,0.448592874691908,0.513105226234198,0.515480224079973,0.506907127181613,0.441334066456727,0.436832531419222,0.447122956971749,0.517392779629669,0.514454844161891,0.500400655695621,0.441549059449455,0.434058912525896,0.448183925016133,0.51545990176843,0.504476496783457,0.514396041429937,0.455500436814514,0.447466799723418,0.463625703742055,0.505777038647228,0.500114347715919,0.485544575718215,0.435977768586365,0.437499502224243,0.446688131374769,0.51807865076073,0.508913001465186,0.515294402503021,0.444237761813203,0.445381497830321,0.450162402985397,0.507822614887944,0.507459332721028,0.510807468043283,0.445152658422561,0.442179154031228,0.440132841817544,0.50074255282424,0.5093340691354,0.512705873541879,0.453671160419113,0.454239701887912,0.42474335188485,0.502944122891219,0.509259128470081,0.506661889745183,0.444567155629899,0.455021608522788,0.436311833086138,0.516567338809747,0.506074308721442,0.494684166854503,0.464641694376541,0.437569053324401,0.457544482302162,0.502320081955577,0.504432083137982,0.483691371753047,0.43762755347013,0.43935434235114,0.460595999896471,0.504739838834033,0.52044274128315,0.491698129274468,0.442731767815392,0.446824725094938,0.437792313116321,0.498586984195588,0.507973732393866,0.519495844480568,0.451431254222235,0.457507506622901,0.42283784717638,0.504260641625292,0.520154665362306,0.495440234893847,0.453888384415063,0.439178070754817,0.447225041991584,0.495134638990246,0.502209109747473,0.519862175971629,0.461644161679722,0.455492180008291,0.47857677823687,0.48185258662824,0.486590118547202,0.494093852650055,0.446458916349031,0.464521295100428,0.465721849067641,0.500268047116692,0.504704008884763,0.478214320554776,0.442970498380941,0.435205765976484,0.509530445267867,0.51397308913138,0.438516089850958,0.433181592172177,0.514434998692587,0.519219950097786,0.444697057322742,0.438561922825206,0.510418562591338,0.512813697037012,0.464123344161009,0.461635981200908,0.45660850673764,0.497566719968645,0.496319124549702,0.480299157828856
"PIN4",0.435102479330375,0.426575094614564,0.398942336281097,0.436523734179221,0.413360283786036,0.432731791328335,0.411584018972985,0.396709492606184,0.417417318239397,0.449469757577937,0.439008937607877,0.438403019211723,0.40821358365501,0.402295766608625,0.413188814746354,0.44085321928923,0.440854274875121,0.447746126407377,0.416039647841154,0.402000594610887,0.423986806090614,0.428523619629996,0.436917008750029,0.442335693142319,0.40790860731945,0.435160690555186,0.40535235732351,0.441891628028879,0.433534326083786,0.414689026335773,0.423030444777893,0.445583303641124,0.426030807339751,0.419258755864442,0.42001302543367,0.399130341374334,0.423631748194921,0.416080590485714,0.403247569489083,0.408574581034466,0.427354736531157,0.45698531412883,0.430455978988343,0.403529603064819,0.456356497706547,0.411762406499334,0.417963308071951,0.413671372307841,0.416747298220244,0.401463254460765,0.406673934775059,0.433935103191926,0.431846830356156,0.447244553499501,0.448250982282027,0.408153649538707,0.428118336459281,0.42959034205067,0.395323920831175,0.425742270078757,0.426333401146264,0.408865575191497,0.428945743883876,0.421307213662011,0.430464889306286,0.423392767264279,0.433668823636903,0.419569259952834,0.450261318303963,0.406786597212791,0.403139373102269,0.416662952000647,0.437458401052949,0.415055040755287,0.452027779798262,0.408151202994209,0.413495335012931,0.409631746385999,0.423296772446049,0.392128644504486,0.422549503886671,0.42977234451689,0.433765693904939,0.449055119189281,0.41431904245188,0.406875016847144,0.44292627668593,0.435053362206478,0.421901390237405,0.426979694900631,0.420893372517111,0.426363200150758,0.431293230532798,0.439532216069693,0.436654384956833,0.392633476814608,0.436555414791413,0.417949892938914,0.422258706738706,0.419073424512705,0.411399850464266,0.406824461563163,0.427565160686768,0.450541224459557,0.425308537508312,0.422199897972861,0.425156949996232,0.423715741973953,0.419710492671425,0.425990938226337,0.417078893987966,0.436526847654947,0.420008932498299,0.428473222808403
"PIN5",0.28583147083673,0.27630652219961,0.287382550035615,0.274059552803383,0.294242369734028,0.278295612492039,0.284401393868568,0.269759923930382,0.298037744787628,0.288305576890895,0.281235857727421,0.275582526642788,0.28501199926174,0.26895784494274,0.283128228879718,0.295019255681822,0.27915641414319,0.285923255974297,0.292937747371808,0.283926259113834,0.302233637803152,0.259404729550172,0.281870972864883,0.274432376863122,0.303848593623634,0.294294423073582,0.288303520628112,0.266626601471829,0.267795868935445,0.271408721115678,0.299546468977244,0.288011567832482,0.28163248938884,0.276449140341767,0.282026559768646,0.269204275570947,0.299394151452662,0.293866349184793,0.291076685098845,0.268234387345664,0.274891791456793,0.279696078551404,0.289141172744733,0.282851841225871,0.304428064269215,0.280181026868555,0.287160668775507,0.266013144375872,0.286022188576516,0.288279768363046,0.298203634768737,0.283365752401554,0.28950175767987,0.261424012550945,0.303193683024764,0.298942598239033,0.293786632479843,0.279756138588551,0.27208668133087,0.272266016069798,0.30253933331461,0.290647298144897,0.293863619297671,0.261882233366491,0.270572044363003,0.279859790143719,0.291226355530435,0.306943125840218,0.288402866351378,0.275727940027413,0.27135348013505,0.266152253190257,0.300618119051841,0.296699645434054,0.300942603985238,0.271166333501151,0.269733408700038,0.266104660376575,0.279788422776898,0.288374896592066,0.279607412794355,0.287088685694622,0.287357025279037,0.272364004393744,0.291216236378741,0.283032612367602,0.270874505969016,0.290170311154818,0.277559764153376,0.285197350073236,0.296573164991859,0.28087277976619,0.290753962860037,0.268799602928049,0.269179949385284,0.294325455996343,0.287756476851672,0.273169312322838,0.27212099851945,0.294418107384628,0.269964702190909,0.305535684985736,0.268617050853035,0.286540187424855,0.270629816163986,0.29625471585692,0.273511204434318,0.290156695794952,0.302975761882283,0.274322213178644,0.292834505042156,0.271725494356191,0.269895825442386,0.282680648874725
"PIN6",0.429254324403955,0.433881277844548,0.418304539348663,0.420446384642406,0.418990579426945,0.412413131789094,0.427217301173459,0.4200379820602,0.427220577905531,0.413621852968741,0.422147705918834,0.419997811768352,0.41835998919713,0.422035420778537,0.423215766999262,0.420817711745125,0.410260591783054,0.434316960925123,0.419507616704573,0.4134402433259,0.414800792082018,0.418484221622682,0.424725280089922,0.436983546600983,0.428587009483434,0.42611557925012,0.426705424295958,0.417890312195362,0.41231744772846,0.423443215182643,0.428984648704016,0.428673088938681,0.428716475232949,0.419549859777105,0.413454722183007,0.419023241926852,0.430507751357,0.425042963150981,0.414184415760096,0.425838690536966,0.41903477493301,0.416063809584995,0.416578874150695,0.431328214231891,0.417831187255149,0.419900241461774,0.414909257141091,0.431024097504686,0.418826127226069,0.419400441619807,0.424337832774938,0.426860646894388,0.425809090328713,0.417198738121069,0.420816083315566,0.430834010725692,0.414927271804326,0.416405697625879,0.438821777067021,0.416933730734819,0.421164833925169,0.407574606125721,0.422556324463508,0.42814986617126,0.431059613365877,0.422895580043283,0.411722322839313,0.43041702245079,0.416768035327271,0.421321024044004,0.426457980702957,0.425660163041464,0.413204550324342,0.420795000737558,0.425342821084308,0.418913695959646,0.436732008523055,0.419537437520904,0.422049388591448,0.421784597980814,0.43354851778671,0.406142890790416,0.426285374737257,0.418189619427508,0.416952955610149,0.418349645423798,0.414482099637089,0.424551367608905,0.428460132418366,0.42930443611907,0.417541376058793,0.417634848957353,0.422316881157425,0.420176460434612,0.41838535103176,0.43493676883825,0.427210399236091,0.427858470999168,0.411400135669233,0.424204434221798,0.425052349043076,0.431008138887361,0.420693015362848,0.41417714444438,0.426816951786657,0.42924134539723,0.420391672813398,0.415617355977318,0.416633087214314,0.421003090557371,0.407496103340146,0.426632515331749,0.426864017609759,0.432377745708761
"PIN7",0.407936517965733,0.414888104285885,0.418640573389374,0.499600298527993,0.501661687713126,0.494255306317327,0.437178241567289,0.410478142927761,0.440144693146935,0.500406364673873,0.480249069884057,0.469510155609543,0.429172444334668,0.409500731961043,0.433532936815174,0.490078618205825,0.482405052380223,0.493186449065524,0.426344597531631,0.409888079337044,0.43144681354017,0.484976380039682,0.487705480153539,0.497896688230343,0.414184966858575,0.399928289017295,0.421215232221216,0.503607544432286,0.493968359478939,0.501947855833172,0.416961502691625,0.405462607045006,0.422717005066293,0.498100274604678,0.499322921376668,0.494581842974313,0.411341394828872,0.433163517157584,0.435031090419018,0.491812680840427,0.486107344863714,0.471702764656529,0.41622110614464,0.426488416464512,0.421248094218303,0.488379427396237,0.485773963147364,0.492739474256255,0.416928153552251,0.433888787759619,0.412803147436629,0.506204128316218,0.499387565226229,0.459843723480094,0.42692391911997,0.418155148834054,0.438718039409607,0.485887669864681,0.480358761834953,0.477317328756514,0.405859172440331,0.434276823284777,0.408770795788088,0.499482903272171,0.499114186387997,0.485574160947712,0.418783859919618,0.429374243490517,0.409345648864307,0.484931215655405,0.499588376813377,0.491748389975667,0.421387316370056,0.42782465597334,0.419102854747499,0.486220720431391,0.487687026160304,0.490552969710321,0.447628213204675,0.422084737285676,0.390907841485154,0.495321872361297,0.500762117414455,0.482303094686548,0.437572749151924,0.436159818751338,0.469926958700103,0.468711858692942,0.468313250475487,0.455985782768358,0.450486717663364,0.446316223626727,0.450857491902244,0.487009947755041,0.488823866402847,0.414623853521649,0.417910779725513,0.423021825878897,0.494433533558485,0.490631459215088,0.416078032777853,0.404195259059233,0.506469923565534,0.49652665056233,0.414081496247196,0.411116501021323,0.502139016548531,0.501200734960997,0.447196507680976,0.454399627989947,0.433802378519863,0.472215636029932,0.456727570608279,0.471487688560618
"PIN8",0.211626204561719,0.21874009807028,0.215916222253787,0.216478536619661,0.222495117819103,0.229831727132695,0.220144482957616,0.20710927593733,0.219231772494063,0.22573209304665,0.229185977550851,0.214764706479898,0.22730455014921,0.211089196447791,0.217669089500426,0.216231241612847,0.213473259952925,0.2301766320091,0.22251914466386,0.215790317050744,0.220239530414586,0.216136541570062,0.211147612023653,0.231354620951854,0.223186551611748,0.217193914618954,0.211679102898603,0.225931093253894,0.214482302698741,0.222291814142068,0.219460141271062,0.21345841452058,0.212958298292263,0.224847734773859,0.217509831042262,0.226419561192787,0.211004653965574,0.223607144936473,0.223105804911229,0.206382947040798,0.224613696264764,0.224777979394485,0.210770422392022,0.218588592926843,0.228214300568428,0.221064224198591,0.220915220000571,0.215395213138845,0.216711791394122,0.22232483433746,0.218208297565651,0.215605192000208,0.209814253459047,0.230583965292864,0.216187149677081,0.229970477893993,0.223032763968236,0.218594821986766,0.206204046947229,0.219526979833825,0.220235931413751,0.227813103107576,0.22978981481437,0.209874640944837,0.214145123261684,0.215865714087668,0.212962418497952,0.218563979591319,0.227914763256268,0.216246684071065,0.212265206157907,0.22688210452436,0.228060050492502,0.224996910224168,0.219179002227103,0.219536123845353,0.207978076206552,0.219067590845333,0.221924176186574,0.218327790402857,0.220310547026231,0.223699198939144,0.20833173346957,0.223404434281014,0.221548159271779,0.212081686389677,0.219778762729146,0.223544867677885,0.220856237730501,0.217980330389117,0.217761478902843,0.215994075437239,0.224006604140358,0.223077484908233,0.226537851568926,0.209430926727982,0.208464062596206,0.216926464299007,0.228348404778144,0.223833253495575,0.213633341657067,0.227551145349587,0.212067769973369,0.224587366401304,0.211569322993496,0.224979615199692,0.220506899338875,0.220784717156465,0.209491670681774,0.217096939821269,0.222913502411268,0.224226838614853,0.212616529159645,0.229352319704318
