"Term","Estimate","SE","Fit"
"Synthesis",2.40374836160822,0.595994253269533,"All tissues"
"Conjugation",0.324394190937884,0.0846625543573346,"All tissues"
"PAT",0.165678759325835,0.232497779160561,"All tissues"
"Synthesis",1.57385176454919,0.471751531526788,"Roots excluded"
"Conjugation",0.735286803133641,0.0899586092112785,"Roots excluded"
"PAT",-0.20611533640131,0.217805000207197,"Roots excluded"
