"iSensor","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","tissue","neglog10_padj"
"ATH-aux-reg-IR8-ARF8-up",1.87012930237072e-39,0.315026891187974,1,1,3.16883020679482e-39,"Young_LRC_Columella_1",38.4991010306827
"ATH-aux-reg-IR8-ARF3-up",1.16463133063296e-38,-0.502200865601542,0.989,0.997,1.9200678694219e-38,"Young_LRC_Columella_1",37.716683419841
"ATH-aux-cis-DR5-ARF1",5.53668981921218e-38,-0.132143300323731,1,1,8.88784418347219e-38,"Young_LRC_Columella_1",37.0512035677993
"random2",8.79530939867308e-38,-0.175401094602115,1,1,1.37567659825399e-37,"Young_LRC_Columella_1",36.8614836504766
"ATH-aux-trans-A-ARF",7.51930804366182e-34,1.33958912681884,0.686,0.588,1.14669447665843e-33,"Young_LRC_Columella_1",32.9405522793753
"ATH-aux-reg-DR5-ARF5-1-up",1.96733132931812e-19,0.131117610498291,1,1,2.89879185772287e-19,"Young_LRC_Columella_1",18.5377829672209
"ATH-aux-reg-IR8-ARF1-down",1.99588947580919e-19,-0.231177738036617,0.983,0.997,2.89879185772287e-19,"Young_LRC_Columella_1",18.5377829672209
"ATH-aux-reg-IR8-ARF5-2-down",2.07558530520583e-18,-0.494711951964489,0.838,0.941,2.94443496785013e-18,"Young_LRC_Columella_1",17.5309980332668
"ATH-aux-reg-DR5-TGTCNN-up",1.16360800245884e-17,-0.242459563335205,1,1,1.61318382159066e-17,"Young_LRC_Columella_1",16.7923161421251
"ATH-aux-reg-IR8-ARF2-up",2.66680417211048e-17,-0.179349631460759,0.999,1,3.6150012110831e-17,"Young_LRC_Columella_1",16.4418915528738
"ATH-aux-reg-IR8-ARF6-down",1.21472907856147e-16,-0.245092418016187,0.921,0.977,1.61083638678804e-16,"Young_LRC_Columella_1",15.7929485687823
"ATH-aux-reg-IR8-ARF5-1-up",3.34943570325654e-15,0.181605612971451,1,1,4.34713995529041e-15,"Young_LRC_Columella_1",14.3617963775612
"ATH-aux-reg-DR5-ARF5-2-down",1.98665350827083e-14,-0.245385118464904,0.906,0.965,2.52470550009419e-14,"Young_LRC_Columella_1",13.5977892738397
"ATH-aux-reg-DR5-ARF2-up",2.63424861038718e-11,-0.176953749580152,1,1,3.27937071905342e-11,"Young_LRC_Columella_1",10.4842094853927
"ATH-aux-trans-PolarAuxinTransport",1.52242804087152e-08,0.322735265733825,0.965,0.987,1.85736220986326e-08,"Young_LRC_Columella_1",7.73110339491096
"ATH-aux-reg-IR8-ARF6-up",1.79145966566292e-06,0.166055146860302,0.999,1,2.1427262667733e-06,"Young_LRC_Columella_1",5.66903330652376
"ATH-aux-reg-DR5-ARF8-up",1.86459766661948e-06,0.0664045821858106,1,1,2.18731649353439e-06,"Young_LRC_Columella_1",5.66008837222034
"ATH-aux-reg-DR5-ARF1-down",8.08524490832871e-06,-0.162058773292033,0.936,0.968,9.30565923411418e-06,"Young_LRC_Columella_1",5.03125285503223
"ATH-aux-reg-DR5-ARF5-2-up",1.14984184851521e-05,0.288552916290271,0.973,0.984,1.29889542147089e-05,"Young_LRC_Columella_1",4.88642581405895
"ATH-aux-reg-DR5-ARF1-up",0.0112376454022213,0.0454556857043302,1,0.999,0.0124635703551908,"Young_LRC_Columella_1",1.90435753043418
"random1",0.0123742870082689,0.0483870709177981,1,1,0.0134791340625786,"Young_LRC_Columella_1",1.87033800720155
"ATH-aux-reg-IR8-ARF3-down",0.0141598177651053,0.114784993758515,0.774,0.847,0.0151534891872179,"Young_LRC_Columella_1",1.81948735658188
"ATH-aux-trans-ConjugationDeconjugation",0.0201313799871255,0.0651755074070313,0.999,1,0.0211726582623217,"Young_LRC_Columella_1",1.67422461216566
"ATH-aux-reg-IR8-TGTCNN-down",0.281613893047994,0.190444479339226,0.762,0.834,0.291160126710638,"Young_LRC_Columella_1",0.535868100290399
"ATH-aux-reg-IR8-ARF2-down",0.578857470851552,0.195210595043895,0.959,0.984,0.588505095365744,"Young_LRC_Columella_1",0.230249772617239
"ATH-aux-reg-IR8-ARF5-2-up",0.852276993701196,0.052675261569993,1,1,0.852276993701196,"Young_LRC_Columella_1",0.0694192347106027
"ATH-aux-reg-DR5-ARF3-up",1.77552273540185e-220,1.43764290540875,1,1,1.08306886859513e-218,"Young_Atrichoblast_1",217.965343927216
"ATH-aux-reg-DR5-ARF2-down",8.34291336052429e-219,-1.05965876069635,1,1,2.54458857495991e-217,"Young_Atrichoblast_1",216.594382427107
"ATH-aux-reg-DR5-TGTCNN-down",5.65348042435525e-211,-1.21738194430808,1,1,1.1495410196189e-209,"Young_Atrichoblast_1",208.939475526982
"ATH-aux-reg-DR5-ARF5-1-down",6.38762395558368e-210,-0.860353022909656,1,1,9.74112653226511e-209,"Young_Atrichoblast_1",208.011390815354
"ATH-aux-reg-DR5-ARF6-down",1.86483096187052e-199,-0.857982160041957,1,1,2.27509377348204e-198,"Young_Atrichoblast_1",197.643000698142
"ATH-aux-reg-DR5-ARF1-up",2.92024541857225e-168,1.12171298819833,1,1,2.96891617554846e-167,"Young_Atrichoblast_1",166.527402064112
"ATH-aux-cis-DR5-TGTCNN",6.1583546149067e-165,-0.349980289636934,1,1,5.3665661644187e-164,"Young_Atrichoblast_1",163.270303511852
"ATH-aux-reg-DR5-ARF5-1-up",2.56836148713765e-160,0.578110151404351,1,1,1.95837563394246e-159,"Young_Atrichoblast_1",158.708104002981
"ATH-aux-trans-PolarAuxinTransport",2.16731438411069e-144,-1.32024079259197,0.874,0.993,1.46895752700835e-143,"Young_Atrichoblast_1",142.832990761087
"ATH-aux-reg-DR5-ARF5-2-up",1.80906926848454e-139,0.944280452486024,1,1,1.10353225377557e-138,"Young_Atrichoblast_1",137.957214968862
"ATH-aux-reg-DR5-ARF3-down",1.70511702370179e-135,-0.942724892319706,0.998,1,9.45564894961902e-135,"Young_Atrichoblast_1",134.024308659779
"ATH-aux-reg-IR8-ARF5-1-up",1.95523657551798e-113,0.546166411931883,1,1,9.93911925888306e-113,"Young_Atrichoblast_1",112.002652098294
"ATH-aux-trans-ARF",9.05036788548869e-109,1.31643562720039,0.953,0.939,4.24671108472931e-108,"Young_Atrichoblast_1",107.371947284236
"ATH-aux-reg-DR5-ARF8-down",1.31029925016158e-100,-0.57104478598136,0.998,1,5.70916101856119e-100,"Young_Atrichoblast_1",99.243427708178
"ATH-aux-reg-DR5-ARF1-down",1.42569881025834e-96,-0.810465323306574,0.985,1,5.7978418283839e-96,"Young_Atrichoblast_1",95.2367336368591
"ATH-aux-trans-Synthesis",3.43255829788066e-94,-1.5289159401335,0.118,0.498,1.308662851067e-93,"Young_Atrichoblast_1",92.8831722257035
"ATH-aux-reg-DR5-ARF8-up",5.1407826121033e-91,0.460907677597154,1,1,1.84463376081354e-90,"Young_Atrichoblast_1",89.734089847091
