"ROI.name","Cell_type","Colour","ROI.id","point","x","y"
"poly1","Atrichoblast-m1","#FFFFFF","poly1",65,NA,NA
"poly1","Atrichoblast-m1","#FFFFFF","poly1",66,NA,NA
"poly1","Atrichoblast-m1","#FFFFFF","poly1",67,NA,NA
"poly1","Atrichoblast-m1","#FFFFFF","poly1",68,NA,NA
"poly1","Atrichoblast-m1","#FFFFFF","poly1",69,NA,NA
"poly1","Atrichoblast-m1","#FFFFFF","poly1",70,NA,NA
"poly1","Atrichoblast-m1","#FFFFFF","poly1",71,NA,NA
"poly1","Atrichoblast-m1","#FFFFFF","poly1",72,NA,NA
"poly2","Atrichoblast-m1","#FFFFFF","poly2",1,272.2,202.692455418381
"poly2","Atrichoblast-m1","#FFFFFF","poly2",2,272.2,202.692455418381
"poly2","Atrichoblast-m1","#FFFFFF","poly2",3,270.670233196159,202.289849108367
"poly2","Atrichoblast-m1","#FFFFFF","poly2",4,268.924828532236,202.004938271605
"poly2","Atrichoblast-m1","#FFFFFF","poly2",5,267.02962962963,201.822085048011
"poly2","Atrichoblast-m1","#FFFFFF","poly2",6,265.050480109739,201.725651577503
"poly2","Atrichoblast-m1","#FFFFFF","poly2",7,263.053223593964,201.7
"poly2","Atrichoblast-m1","#FFFFFF","poly2",8,261.103703703704,201.729492455418
"poly2","Atrichoblast-m1","#FFFFFF","poly2",9,259.267764060357,201.798491083676
"poly2","Atrichoblast-m1","#FFFFFF","poly2",10,257.611248285322,201.891358024691
"poly2","Atrichoblast-m1","#FFFFFF","poly2",11,256.2,201.992455418381
"poly2","Atrichoblast-m1","#FFFFFF","poly2",12,256.2,201.992455418381
"poly2","Atrichoblast-m1","#FFFFFF","poly2",13,256.105624142661,202.037448559671
"poly2","Atrichoblast-m1","#FFFFFF","poly2",14,255.963511659808,202.107956104252
"poly2","Atrichoblast-m1","#FFFFFF","poly2",15,255.785185185185,202.207270233196
"poly2","Atrichoblast-m1","#FFFFFF","poly2",16,255.582167352538,202.338683127572
"poly2","Atrichoblast-m1","#FFFFFF","poly2",17,255.36598079561,202.50548696845
"poly2","Atrichoblast-m1","#FFFFFF","poly2",18,255.148148148148,202.7109739369
"poly2","Atrichoblast-m1","#FFFFFF","poly2",19,254.940192043896,202.958436213991
"poly2","Atrichoblast-m1","#FFFFFF","poly2",20,254.753635116598,203.251165980795
"poly2","Atrichoblast-m1","#FFFFFF","poly2",21,254.6,203.592455418381
"poly2","Atrichoblast-m1","#FFFFFF","poly2",22,254.6,203.592455418381
"poly2","Atrichoblast-m1","#FFFFFF","poly2",23,254.560631001372,203.710288065844
"poly2","Atrichoblast-m1","#FFFFFF","poly2",24,254.514677640604,203.861042524005
"poly2","Atrichoblast-m1","#FFFFFF","poly2",25,254.47037037037,204.040603566529
"poly2","Atrichoblast-m1","#FFFFFF","poly2",26,254.435939643347,204.244855967078
"poly2","Atrichoblast-m1","#FFFFFF","poly2",27,254.419615912209,204.469684499314
"poly2","Atrichoblast-m1","#FFFFFF","poly2",28,254.42962962963,204.7109739369
"poly2","Atrichoblast-m1","#FFFFFF","poly2",29,254.474211248285,204.964609053498
"poly2","Atrichoblast-m1","#FFFFFF","poly2",30,254.56159122085,205.226474622771
"poly2","Atrichoblast-m1","#FFFFFF","poly2",31,254.7,205.492455418381
"poly2","Atrichoblast-m1","#FFFFFF","poly2",32,254.7,205.492455418381
"poly2","Atrichoblast-m1","#FFFFFF","poly2",33,254.810150891632,205.6780521262
"poly2","Atrichoblast-m1","#FFFFFF","poly2",34,254.936762688615,205.836488340192
"poly2","Atrichoblast-m1","#FFFFFF","poly2",35,255.074074074074,205.970233196159
"poly2","Atrichoblast-m1","#FFFFFF","poly2",36,255.216323731139,206.081755829904
"poly2","Atrichoblast-m1","#FFFFFF","poly2",37,255.357750342936,206.173525377229
"poly2","Atrichoblast-m1","#FFFFFF","poly2",38,255.492592592593,206.248010973936
"poly2","Atrichoblast-m1","#FFFFFF","poly2",39,255.615089163237,206.30768175583
"poly2","Atrichoblast-m1","#FFFFFF","poly2",40,255.719478737997,206.35500685871
"poly2","Atrichoblast-m1","#FFFFFF","poly2",41,255.8,206.392455418381
"poly2","Atrichoblast-m1","#FFFFFF","poly2",42,255.8,206.392455418381
"poly2","Atrichoblast-m1","#FFFFFF","poly2",43,257.629903978052,206.422359396433
"poly2","Atrichoblast-m1","#FFFFFF","poly2",44,259.454046639232,206.446502057613
"poly2","Atrichoblast-m1","#FFFFFF","poly2",45,261.274074074074,206.466529492455
"poly2","Atrichoblast-m1","#FFFFFF","poly2",46,263.091632373114,206.484087791495
"poly2","Atrichoblast-m1","#FFFFFF","poly2",47,264.908367626886,206.500823045267
"poly2","Atrichoblast-m1","#FFFFFF","poly2",48,266.725925925926,206.518381344307
"poly2","Atrichoblast-m1","#FFFFFF","poly2",49,268.545953360768,206.538408779149
"poly2","Atrichoblast-m1","#FFFFFF","poly2",50,270.370096021948,206.562551440329
"poly2","Atrichoblast-m1","#FFFFFF","poly2",51,272.2,206.592455418381
"poly2","Atrichoblast-m1","#FFFFFF","poly2",52,272.2,206.592455418381
"poly2","Atrichoblast-m1","#FFFFFF","poly2",53,272.492866941015,206.546502057613
"poly2","Atrichoblast-m1","#FFFFFF","poly2",54,272.824417009602,206.417421124828
"poly2","Atrichoblast-m1","#FFFFFF","poly2",55,273.174074074074,206.218381344307
"poly2","Atrichoblast-m1","#FFFFFF","poly2",56,273.521262002743,205.962551440329
"poly2","Atrichoblast-m1","#FFFFFF","poly2",57,273.845404663923,205.663100137174
"poly2","Atrichoblast-m1","#FFFFFF","poly2",58,274.125925925926,205.333196159122
"poly2","Atrichoblast-m1","#FFFFFF","poly2",59,274.342249657064,204.986008230452
"poly2","Atrichoblast-m1","#FFFFFF","poly2",60,274.473799725652,204.634705075446
"poly2","Atrichoblast-m1","#FFFFFF","poly2",61,274.5,204.292455418381
"poly2","Atrichoblast-m1","#FFFFFF","poly2",62,274.5,204.292455418381
"poly2","Atrichoblast-m1","#FFFFFF","poly2",63,274.391495198903,204.010425240055
"poly2","Atrichoblast-m1","#FFFFFF","poly2",64,274.209739368999,203.762139917695
"poly2","Atrichoblast-m1","#FFFFFF","poly2",65,273.97037037037,203.544307270233
"poly2","Atrichoblast-m1","#FFFFFF","poly2",66,273.6890260631,203.353635116598
"poly2","Atrichoblast-m1","#FFFFFF","poly2",67,273.38134430727,203.18683127572
"poly2","Atrichoblast-m1","#FFFFFF","poly2",68,273.062962962963,203.040603566529
"poly2","Atrichoblast-m1","#FFFFFF","poly2",69,272.749519890261,202.911659807956
"poly2","Atrichoblast-m1","#FFFFFF","poly2",70,272.456652949245,202.79670781893
"poly2","Atrichoblast-m1","#FFFFFF","poly2",71,272.2,202.692455418381
"poly3","Atrichoblast-m1","#FFFFFF","poly3",1,272.9,206.492455418381
"poly3","Atrichoblast-m1","#FFFFFF","poly3",2,255.3,206.492455418381
"poly3","Atrichoblast-m1","#FFFFFF","poly3",3,255.3,206.492455418381
"poly3","Atrichoblast-m1","#FFFFFF","poly3",4,255.08463648834,206.788477366255
"poly3","Atrichoblast-m1","#FFFFFF","poly3",5,254.903017832647,207.075445816186
"poly3","Atrichoblast-m1","#FFFFFF","poly3",6,254.751851851852,207.35171467764
"poly3","Atrichoblast-m1","#FFFFFF","poly3",7,254.627846364883,207.615637860082
