rice_annotation_original	cells	accepted_cells	accepted_percent	median_score	median_margin	raw_subtypes	accepted_subtypes
Epidermis	8489	3347	39.4274944045235	0.470665387087766	0.22597431346501	8	7
epidermis_near_root_hair	5008	3251	64.9161341853035	0.541762030168207	0.242836766736596	8	6
Meristem	3770	2777	73.6604774535809	0.739058842193551	0.549485467294529	4	4
Vascular_cylinder	3577	741	20.7156835336875	0.355699276218562	0.114015227624019	29	11
Exodermis	2902	2521	86.8711233631978	0.839071761549188	0.694070044291649	5	3
Cortex	2733	1380	50.4939626783754	0.50095008952266	0.237638504847803	5	3
Sclerenchyma	2348	1517	64.6081771720613	0.555723158777101	0.290713745831349	5	3
Endodermis	1378	902	65.4571843251089	0.533552445121918	0.328066923696361	4	2
Root_cap	903	765	84.7176079734219	0.724678647892274	0.481155421685784	2	2
