rice_broad_original	cells	accepted_cells	accepted_percent	median_score	median_margin
Epidermis	13497	6598	48.8849373934949	0.497791463616398	0.232330660253746
Cortex	7983	5418	67.869222096956	0.564980563843622	0.313118961967486
Meristem_initials	3770	2777	73.6604774535809	0.739058842193551	0.549485467294529
Vascular	3577	741	20.7156835336875	0.355699276218562	0.114015227624019
Endodermis	1378	902	65.4571843251089	0.533552445121918	0.328066923696361
Root_cap	903	765	84.7176079734219	0.724678647892274	0.481155421685784
